Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461181243769826.0	(-21.6975573692, -12.6498269402, 597.681524695)	(0.617672668481, 0.568660786195, 0.492271728516)	(5.53419890405, 150.402533328, 47.4153233372)	(0.510771115033, 0.575130132759)	3.33	0	(32.5160017095, -8.04241521995, 594.32606987)	(0.429332179038, 0.539413861242, 0.481086832682)	(0.0748009356168, 155.488949058, 49.4775270206)	(0.500145583759, 0.556200412882)	2.87	0	1461181245777205	1461181246792858	darktest
1461181243778017.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461181256792203	1461181257806752	
1461181243786335.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461181267807999	1461181268833060	
1461181243794706.0	(-21.6878446769, -12.6642228226, 597.659082319)	(0.617640986295, 0.568752957744, 0.492196858724)	(5.74986558039, 151.874922675, 48.0122794053)	(0.511190863333, 0.569650455248)	3.29	0	(32.525922825, -8.06044896566, 594.297625375)	(0.429293483783, 0.539528454826, 0.480992024739)	(-0.820427810141, 154.224289039, 48.9647913954)	(0.498403215628, 0.560907000226)	2.85	0			
1461181243803056.0	(-21.6778778339, -12.667058756, 597.621992079)	(0.61760933267, 0.568775160936, 0.492073364258)	(4.63323907442, 153.882514401, 48.8262244839)	(0.509017592593, 0.562178956454)	3.29	0	(32.5347792576, -8.06585569549, 594.300890754)	(0.429263270987, 0.539561758239, 0.481003011068)	(-1.7899997212, 154.904084477, 49.2404032861)	(0.496516154688, 0.558377058141)	2.85	0			
1461181243811328.0	(-21.6632397127, -12.6730937833, 597.635690949)	(0.617557699731, 0.568810658713, 0.492118937174)	(4.11480105661, 153.215178632, 48.5556641614)	(0.5080085657, 0.564662528351)	3.29	0	(32.5485162618, -8.07105293312, 594.317280414)	(0.429218135916, 0.539592607355, 0.481057535807)	(0.521509842042, 153.897877573, 48.8324532295)	(0.501015005531, 0.562121780526)	2.84	0			
1461181243819659.0	(-21.6514814382, -12.6730907028, 597.613182457)	(0.617518681802, 0.56881331938, 0.492043863932)	(5.21129653197, 152.47426024, 48.2552709733)	(0.510142655765, 0.567419947005)	3.29	0	(32.5597340791, -8.07598784784, 594.317490817)	(0.429179228551, 0.539623177519, 0.481058349609)	(-1.05940625127, 153.346419222, 48.6088735024)	(0.497938096046, 0.5641741004)	2.84	0			
1461181243828019.0	(-21.6437500744, -12.6727718583, 597.559340264)	(0.617495978267, 0.568818105237, 0.491864420573)	(3.72433090068, 152.818199118, 48.39471534)	(0.507248600429, 0.566139936295)	3.31	0	(32.5615394862, -8.086310478, 594.303270117)	(0.429170868262, 0.539688671949, 0.481010945638)	(0.735071174241, 158.273166453, 50.6063422156)	(0.501430656236, 0.545838606429)	2.82	0			
1461181243836358.0	(-21.6358457815, -12.6749059369, 597.535817608)	(0.617470418652, 0.568834248968, 0.491786092122)	(4.05239516518, 156.746067117, 49.9872048816)	(0.507887106199, 0.551521893872)	3.26	0	(32.5714150156, -8.09079659899, 594.308254841)	(0.429137368684, 0.539716076821, 0.48102742513)	(1.13683514129, 159.950160327, 51.2862518273)	(0.502212602455, 0.53959746808)	2.79	0			
1461181243844728.0	(-21.6246119924, -12.6757024405, 597.570945857)	(0.617428861097, 0.56883449865, 0.491903076172)	(4.11065485056, 155.591479305, 49.5190962244)	(0.508000496011, 0.555818833996)	3.26	0	(32.5833600943, -8.09385751515, 594.300166999)	(0.429094607413, 0.539735627431, 0.481000569661)	(2.52573328539, 158.822280442, 50.8289714602)	(0.504915790746, 0.543795011381)	2.79	0			
