Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461347038965836.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461347040973284	1461347041189049	lighttest
1461347038974059.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461347051188504	1461347051404775	
1461347038982396.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461347061407192	1461347061622255	
1461347038990740.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461347071627503	1461347071844301	
1461347038999102.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461347039007456.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461347039015732.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461347039024079.0	(39.4452936134, 30.8216872612, 605.045921051)	(0.40669379041, 0.300346935425, 0.516819661458)	(-61.8699841962, 117.160271573, 33.9377945114)	(0.379583526282, 0.698845286292)	2.79	1	(39.4404170247, 30.8217075761, 605.045921053)	(0.406710513337, 0.3003468435, 0.516819661458)	(-86.4056785227, 127.518851966, 38.1375107299)	(0.33183013133, 0.660294559116)	2.78	3			
1461347039032417.0	(39.596101479, 30.850048394, 606.052489346)	(0.406359471796, 0.30047708216, 0.520174967448)	(-59.6251959138, 116.81020927, 33.7958675023)	(0.383952518657, 0.700148086081)	2.79	1	(39.5912329448, 30.8500686614, 606.052489348)	(0.406376146661, 0.300476990658, 0.520174967448)	(-84.1904654247, 127.165215758, 37.9941347401)	(0.336141562038, 0.661610659628)	2.79	3			
1461347039040770.0	(40.3653489182, 30.8160767101, 606.052490815)	(0.403725179641, 0.3006797392, 0.520174967448)	(-60.3421863036, 134.742198336, 41.0660978294)	(0.382557052737, 0.633411989816)	2.96	2	(40.4287435011, 31.1274449819, 612.365677193)	(0.404664710883, 0.300682011278, 0.54121887207)	(-88.867951203, 148.572302127, 46.6732861693)	(0.327037852855, 0.58194156261)	2.98	2			
1461347039049132.0	(40.4034748808, 30.7768364558, 606.05249081)	(0.403595107056, 0.300919495409, 0.520174967448)	(-63.8477331694, 134.686207199, 41.0433971427)	(0.375734267868, 0.633620367701)	2.99	2	(40.4647602262, 31.0761367481, 612.128713686)	(0.404499673615, 0.300921680478, 0.540429077148)	(-92.3401058938, 148.436091653, 46.6180618709)	(0.320280058595, 0.58244848659)	3.02	2			
