Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1460667508037653.0	(-36.7221298535, -40.8394085016, 775.263999843)	(0.64972371761, 0.687282902414, 1.08421325684)	(26.5954698248, 243.791248814, 85.2782435644)	(0.551762300165, 0.227572576057)	2.84	0	(22.5321461011, -39.4104001983, 782.853785503)	(0.481761080251, 0.677526119659, 1.10951253255)	(12.2969952831, 212.316028304, 72.517132577)	(0.523933427954, 0.34471146891)	3.31	0	pst	120
1460667508045874.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508054203.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508062560.0	(-35.0903183505, -39.9442382618, 756.335828002)	(0.646807618053, 0.687652396329, 1.02111938477)	(35.2575351581, 228.94583322, 79.2594137366)	(0.568621127205, 0.282821610642)	2.75	0	(22.6086824263, -39.2464934357, 778.240509301)	(0.481197960904, 0.67782459162, 1.09413513184)	(3.2642462868, 207.083819487, 70.3958194824)	(0.506353145751, 0.364183775634)	3.27	0		
1460667508070920.0	(-35.0919659075, -39.9743520389, 756.200396497)	(0.646825527091, 0.687835936129, 1.02066792806)	(16.5176369033, 237.590042924, 82.7640665284)	(0.532147989302, 0.250651124211)	3.04	0	(22.498877555, -39.5691014543, 784.633346356)	(0.481988609093, 0.677866506865, 1.11544453939)	(25.2012426891, 224.289156613, 77.3714407197)	(0.54904874015, 0.300152003674)	3.25	0		
1460667508079276.0	(-37.4692036897, -41.3049340301, 782.13495692)	(0.651193965056, 0.687828601851, 1.10711649577)	(8.67084988291, 225.466203675, 77.848655111)	(0.516875924256, 0.295771478694)	3.20	0	(22.504244016, -39.5762709136, 784.407015028)	(0.481956845173, 0.677953541461, 1.11469014486)	(19.1436183956, 203.774151258, 69.05396888)	(0.537258891389, 0.376501111805)	3.35	0		
1460667508087549.0	(-37.3921201691, -41.3046733229, 781.257421217)	(0.651060007672, 0.68804331655, 1.10419148763)	(8.8277602168, 256.397155344, 90.38910124)	(0.517181316109, 0.180658149073)	2.94	0	(23.0546560309, -37.7619695039, 745.803349744)	(0.477352002887, 0.678365725735, 0.986011149088)	(23.2306332062, 188.806752753, 62.9856830851)	(0.545213377201, 0.432204120754)	3.17	0		
1460667508095862.0	(-37.3686169836, -41.3674985357, 781.257427646)	(0.650994495197, 0.688343836514, 1.10419148763)	(-0.483035322495, 255.536841615, 90.0403011742)	(0.499059876757, 0.183859912115)	2.83	0	(22.497580625, -39.7080269076, 784.407025422)	(0.481977202717, 0.678581101773, 1.11469014486)	(14.9593467367, 208.353318257, 70.9105168995)	(0.529115116264, 0.359459180287)	3.28	0		
1460667508104236.0	(-37.4274834067, -41.3142420918, 781.257425602)	(0.651160113414, 0.68808979468, 1.10419148763)	(4.24722826631, 247.479377865, 86.7735348886)	(0.508266306474, 0.213846751527)	3.26	0	(22.4340857706, -39.6790964499, 783.605678606)	(0.482096633721, 0.678632829665, 1.11201883952)	(32.1980571495, 224.753709926, 77.5597862274)	(0.562666518391, 0.298423111553)	3.25	0		
1460667508112606.0	(-37.4595925329, -41.443390879, 781.850076629)	(0.651196090533, 0.688561692786, 1.10616699219)	(18.8740676774, 239.372495085, 83.4867324694)	(0.536734269516, 0.244017509919)	3.22	0	(22.5047679045, -39.7545651128, 784.488860767)	(0.481963558747, 0.678783344636, 1.11496276855)	(19.5440809917, 224.428463631, 77.4279204614)	(0.538038304772, 0.299633555522)	3.27	0		
1460667508120946.0	(-37.4612854118, -41.4642447039, 781.693499355)	(0.65121615379, 0.688700470657, 1.10564493815)	(7.4328637033, 240.155531332, 83.8042016499)	(0.514466453295, 0.241103344503)	3.17	0	(22.4423125585, -39.7531007129, 783.489366833)	(0.48206572728, 0.679012880418, 1.11163126628)	(35.1942468793, 221.32741442, 76.1706510119)	(0.568497950329, 0.311174490436)	3.25	0		
1460667508129219.0	(-37.45493477, -41.4912006632, 781.5942252)	(0.651208101257, 0.688854114837, 1.1053141276)	(9.10463211506, 233.409374798, 81.0690833291)	(0.517720187067, 0.266209993308)	3.00	0	(22.477523296, -39.8049584961, 783.820697821)	(0.481991550286, 0.679181290801, 1.1127355957)	(22.3427718562, 228.091997112, 78.9132399159)	(0.543485348104, 0.285999266423)	3.29	0		
1460667508137551.0	(-36.4288944576, -41.3994687603, 780.34116508)	(0.648423655264, 0.688707860081, 1.10113728841)	(-157.976148882, 226.850128862, 78.4097448388)	(0.192533770178, 0.290621031404)	3.21	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508145906.0	(-36.4697084291, -41.4053189297, 779.910761465)	(0.648579301569, 0.688843936175, 1.09970255534)	(-141.938108498, 207.59355689, 70.602484137)	(0.22374832912, 0.362286725381)	3.22	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508154260.0	(-38.4483347439, -42.626907457, 802.313826707)	(0.652033227912, 0.689146079773, 1.17437947591)	(-138.548871576, 157.952670775, 50.4764025091)	(0.23034474197, 0.547031370395)	3.83	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508162540.0	(-36.424225396, -41.4505010343, 779.450582525)	(0.648494054065, 0.689174852124, 1.09816853841)	(-153.409293279, 216.995126669, 74.414196127)	(0.201422161776, 0.327297630558)	3.29	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508170859.0	(-36.4228155271, -41.4812850992, 779.330183829)	(0.64850172782, 0.68935273902, 1.09776733398)	(-136.848187315, 199.488617006, 67.3164694331)	(0.233654754156, 0.392450253047)	3.30	0	(14.6665836871, -33.7190672445, 659.596846172)	(0.496565885213, 0.679702356031, 0.69865620931)	(-147.059970595, 122.550811315, 36.123300278)	(0.213779738041, 0.678783731613)	2.86	0		
1460667508179217.0	(-37.5177241975, -43.5960721325, 819.785201442)	(0.647890847596, 0.689402674857, 1.23261739095)	(12.1937136445, 172.25557413, 56.2752796641)	(0.523732412698, 0.493801361629)	3.81	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508187574.0	(-36.4347680129, -41.5567743319, 779.373000601)	(0.648532704501, 0.689704700569, 1.0979099528)	(-149.278077934, 208.067199302, 70.7945146706)	(0.20946267432, 0.360524007063)	3.32	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508195930.0	(-36.4850084518, -41.6315123236, 779.908418512)	(0.648626162278, 0.689930122701, 1.09969482422)	(-139.238164467, 195.287813193, 65.6133225503)	(0.229003183209, 0.408084059571)	3.35	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460667508204200.0	(-36.4972339803, -41.6763836335, 779.969657562)	(0.648655719814, 0.690130277045, 1.09989888509)	(-138.256507068, 223.903633628, 77.2151367602)	(0.230913765924, 0.301586774737)	3.25	0	(14.2908910894, -33.5646387977, 654.103692322)	(0.497406201029, 0.680382358882, 0.680345662435)	(-153.79550238, 141.578545624, 43.8377825095)	(0.200670489724, 0.607969685061)	2.76	0		
1460667508212532.0	(-36.2363648209, -37.7483288168, 704.574125844)	(0.655399469472, 0.690208541339, 0.848580322265)	(-149.54669188, 172.165899629, 56.2389226111)	(0.208939875671, 0.494135096281)	2.94	0	(14.4002378705, -33.6639075884, 655.739546624)	(0.497163791078, 0.680480942366, 0.685798543294)	(-146.67952617, 136.907077871, 41.9438126658)	(0.214520190406, 0.625355125153)	2.80	0		
1460667508220889.0	(-36.2166985525, -37.4593072127, 698.353092441)	(0.656011874644, 0.690403220716, 0.827843627929)	(-137.254495343, 184.45354914, 61.2207482072)	(0.23286396391, 0.448405101825)	2.79	0	(10.5109968859, -30.9297473163, 600.224557475)	(0.506559019257, 0.680769533559, 0.500748494466)	(-159.007494773, 120.684070768, 35.3664609955)	(0.190526479616, 0.685731035474)	2.54	0		
1460667508229243.0	(-37.5139298558, -41.8716686039, 780.518855652)	(0.651483577743, 0.690947414249, 1.10172953288)	(20.2454666216, 253.329113311, 89.1452140086)	(0.539403399419, 0.192076243725)	3.12	0	(20.5163094574, -38.7062659186, 754.933286552)	(0.485472370633, 0.680855616114, 1.01644429525)	(-6.33014083103, 140.607005483, 43.4438875228)	(0.487679757043, 0.611585390832)	3.67	0		
1460667508237523.0	(-37.5099024776, -41.8891929423, 780.335834968)	(0.651490019121, 0.691077485081, 1.10111938477)	(15.706581412, 252.044425701, 88.6243585257)	(0.530569446111, 0.196857366204)	3.09	0	(20.5321196931, -38.7424216631, 755.190501304)	(0.485445587407, 0.680970527025, 1.01730163574)	(1.85907672297, 161.536121546, 51.9292537446)	(0.503618288678, 0.533695118922)	3.51	0		
1460667508245843.0	(-37.5204769086, -41.9008311845, 780.394093903)	(0.651514513795, 0.691118805719, 1.10131368001)	(20.8492479569, 247.861522876, 86.9284693043)	(0.540578528526, 0.212424552008)	2.99	0	(20.4517908651, -38.7004489597, 754.133778877)	(0.485601713969, 0.681025622039, 1.01377929687)	(-0.393788086371, 157.116192657, 50.1372662003)	(0.499233577099, 0.550144426287)	3.45	0		
1460667508254204.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(20.4046388903, -38.6668628611, 753.423748339)	(0.485686903383, 0.681035931148, 1.01141255697)	(2.68424316285, 169.485658772, 55.1522629947)	(0.505224295762, 0.504109941301)	3.44	0		
