Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1460476162146528.0	(-45.7124790543, 54.5332608304, 653.099993624)	(0.690408185992, 0.179133741893, 0.67699991862)	(17.4124755275, 180.038102534, 59.4305779309)	(0.533889598146, 0.464837727824)	2.78	3	(-45.7153463345, 54.533204808, 653.099993258)	(0.690417472106, 0.179134066549, 0.67699991862)	(-36.0689707029, 174.406363444, 57.1472818517)	(0.429799589913, 0.485796935453)	2.76	1	pst	120
1460476162154836.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162163169.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162171502.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162179794.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162188142.0	(-45.6610822966, 54.5078352229, 652.68578577)	(0.690306213306, 0.179086850784, 0.675619303385)	(33.9192733965, 201.746477696, 68.2318819511)	(0.566016491624, 0.384047347613)	2.37	3	(-45.6638180379, 54.5077790543, 652.685785401)	(0.690315077688, 0.179087176234, 0.675619303385)	(-18.3810904523, 196.805287955, 66.2285577589)	(0.464225203479, 0.402436591161)	2.35	1		
1460476162196504.0	(-45.7428179511, 54.5610444453, 653.3446255)	(0.690468088359, 0.179088573172, 0.677815348307)	(20.9019398687, 173.335581866, 56.7131510551)	(0.540681081877, 0.489781980401)	2.79	3	(-45.7442672648, 54.5609873363, 653.344625114)	(0.690472781394, 0.179088901373, 0.677815348307)	(-32.694923722, 167.237285092, 54.240696829)	(0.436366438844, 0.512477539664)	2.77	1		
1460476162204772.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162213106.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162221459.0	(-44.2337145145, 53.5793706933, 640.96993012)	(0.687471479351, 0.178952652199, 0.63656636556)	(-7.63305430329, 189.529907334, 63.2788742275)	(0.485143919223, 0.429512812305)	2.33	3	(-44.2310946765, 53.5785127355, 640.969907961)	(0.687462894116, 0.178957623196, 0.63656636556)	(-60.1758296034, 185.014915329, 61.4483449047)	(0.382880829888, 0.446315908713)	2.31	1		
1460476162229815.0	(-45.6809631493, 54.5288657879, 652.841052676)	(0.690346237611, 0.179038782164, 0.67613688151)	(28.939914935, 210.882841362, 71.9360704801)	(0.55632525289, 0.350045249861)	2.23	3	(-45.6842036193, 54.5288100157, 652.841052314)	(0.690356735341, 0.179039106172, 0.67613688151)	(-23.4265705279, 206.462048515, 70.143732658)	(0.454405273398, 0.366497772554)	2.22	1		
1460476162238098.0	(-45.639424397, 54.4976398966, 652.47813909)	(0.690268323575, 0.179048758602, 0.674927164713)	(18.1389590104, 177.62523863, 58.4523219068)	(0.535303540308, 0.473817496725)	2.81	3	(-45.643094623, 54.4975844283, 652.478138733)	(0.690280218357, 0.179049081817, 0.674927164713)	(-35.2071151537, 171.867250323, 56.1178401569)	(0.431477004372, 0.495246556298)	2.79	1		
1460476162246416.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162254771.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1460476162263132.0	(-45.6557485918, 54.5270559363, 652.670630744)	(0.690290937094, 0.178970053463, 0.675568847656)	(25.8091946245, 189.045723808, 63.0825699725)	(0.550231986424, 0.431314760671)	2.56	3	(-45.6601087003, 54.527001006, 652.670630397)	(0.690305064364, 0.178970374733, 0.675568847656)	(-26.8814609873, 183.639758399, 60.8908101226)	(0.447681080211, 0.45143372386)	2.54	1		
