Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461876063273711.0	(-59.0658367223, 17.2033316902, 682.438132302)	(0.728511681437, 0.396397075458, 0.774793701172)	(123.145178213, 187.066282505, 62.2800380205)	(0.739675317658, 0.438681494212)	2.63	3	(-57.8014313418, 16.8197069529, 667.159526705)	(0.727472692097, 0.396442489867, 0.723865152995)	(63.4628376242, 185.511774408, 61.6497882545)	(0.623516616629, 0.444466786722)	2.57	1	1461876065279643	1461876066290606	darktest
1461876063281888.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461876076293084	1461876077304970	
1461876063290230.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461876087304060	1461876088319896	
1461876063298597.0	(-58.3819716742, 17.106687591, 682.410225519)	(0.726374966865, 0.396915477565, 0.774700724284)	(199.3608319, 191.236849697, 63.9709259621)	(0.888012518295, 0.423160216981)	2.63	3	(-57.1431131138, 16.7384049343, 667.434726625)	(0.725322014503, 0.39692809695, 0.724782511393)	(129.704265053, 187.337007702, 62.3897991032)	(0.752441154248, 0.437673957195)	2.57	1			
1461876063306955.0	(-57.6253297923, 17.1933610299, 685.329938182)	(0.723456965504, 0.396822495166, 0.784433186849)	(214.135454733, 158.348355766, 50.6368264875)	(0.916768109641, 0.545558780177)	2.85	3	(-57.622322639, 17.1933925697, 685.329834407)	(0.723447587922, 0.396822280768, 0.784432779948)	(147.617199504, 164.054506502, 52.9502915459)	(0.787304786889, 0.524322640482)	2.84	1			
1461876063315236.0	(-57.6339268174, 17.1758413697, 684.132122224)	(0.723707146036, 0.396759215672, 0.780440470377)	(217.805475992, 158.414006472, 50.6634434872)	(0.923911008159, 0.545314453027)	2.92	3	(-57.6240068641, 17.1758744591, 684.131994349)	(0.723676131603, 0.396758922913, 0.780440063476)	(150.054784437, 163.951574861, 52.9085596032)	(0.792049016032, 0.524705713207)	2.91	1			
1461876063323554.0	(-57.6618572372, 17.1712372405, 684.246376278)	(0.723773307761, 0.396799775247, 0.780821329753)	(213.824015189, 162.232995847, 52.21178998)	(0.916161960275, 0.531101615752)	2.89	3	(-57.6519389718, 17.1712703162, 684.246248669)	(0.723742302501, 0.396799482652, 0.780820922851)	(146.46049354, 167.635337387, 54.4020805916)	(0.785053510198, 0.510996139236)	2.88	1			
1461876063331912.0	(-58.4847928123, 17.1355595741, 683.502045467)	(0.726489464101, 0.396903658553, 0.778340250651)	(203.684735282, 189.781104381, 63.3807179429)	(0.896428056212, 0.42857795169)	2.71	3	(-57.1493161802, 16.7392862164, 667.370625176)	(0.725354069508, 0.396914525315, 0.724568684896)	(132.85692469, 185.259850622, 61.5476498947)	(0.758577120845, 0.445404351985)	2.64	1			
1461876063340271.0	(-57.706819892, 17.1862169386, 684.655808414)	(0.723837326581, 0.396772833557, 0.782186075846)	(216.223389868, 162.251736218, 52.2193879555)	(0.920831821463, 0.531031871163)	2.88	3	(-57.6969076354, 17.1862500118, 684.655681196)	(0.723806354148, 0.396772541247, 0.782185668945)	(148.628367868, 167.627388986, 54.3988580431)	(0.789272806283, 0.511025720185)	2.87	1			
1461876063348628.0	(-57.7374818179, 17.1920811239, 684.854862449)	(0.72389597356, 0.396767563886, 0.782849527995)	(214.337270628, 162.287454216, 52.2338692308)	(0.917160900406, 0.530898942255)	2.87	3	(-57.7275724863, 17.1921141948, 684.854735491)	(0.723865017077, 0.396767271728, 0.782849121094)	(146.888337628, 167.695294058, 54.4263890384)	(0.785886215703, 0.510773003135)	2.87	1			
