Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461346976193269.0	(-14.0242496155, 32.3923584693, 612.154044798)	(0.589735764567, 0.293301796615, 0.540513509114)	(-9.79183211052, 198.707299004, 66.9996968869)	(0.480942327539, 0.395358023803)	2.16	0	(43.9567432683, 27.319423936, 610.84146927)	(0.392421004408, 0.323313049758, 0.536138305664)	(21.8063652436, 199.225207759, 67.2096744817)	(0.542441349248, 0.393430562863)	2.18	0	1461346978198302	1461346979225539	darktest
1461346976201591.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461346989225246	1461346990241437	
1461346976209874.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461347000239219	1461347001254902	
1461346976218230.0	(-14.4472659126, 31.7432808448, 599.302652184)	(0.591741054359, 0.293238071326, 0.497675577799)	(-5.92442447722, 192.298667974, 64.4014227355)	(0.488469395724, 0.419208530057)	2.12	0	(43.4054724464, 27.1326251783, 606.342521507)	(0.393417123306, 0.323263519208, 0.521141764323)	(23.8317708737, 194.098342211, 65.1310710846)	(0.546383360984, 0.412510821694)	2.14	0			
1461346976226586.0	(-14.0007745553, 32.3745363709, 612.118542784)	(0.589657698625, 0.29339877413, 0.540395100911)	(-12.6040620351, 200.811394516, 67.8527678397)	(0.475468933369, 0.387527374337)	2.19	0	(43.9821544693, 27.3001010441, 610.839195311)	(0.39233426375, 0.323429531805, 0.536130574544)	(22.3445035584, 195.682066781, 65.7731661896)	(0.543488718487, 0.406616796497)	2.20	0			
1461346976234867.0	(-13.9924996135, 32.3712745468, 612.125464408)	(0.589629336858, 0.29342067887, 0.540418294271)	(-8.2062958863, 200.75636709, 67.8304578743)	(0.484028229104, 0.387732165648)	2.17	0	(43.9935505925, 27.2970577597, 610.847402505)	(0.392297116129, 0.323450079738, 0.536158040364)	(21.332019182, 197.969800159, 66.7006900981)	(0.541518137762, 0.398102716191)	2.18	0			
1461346976243186.0	(-13.9898978152, 32.3716646729, 612.126355191)	(0.589620448403, 0.293418571506, 0.540421142578)	(-9.11514586478, 198.957320355, 67.1010639353)	(0.482259350205, 0.394427538688)	2.16	0	(43.9968349699, 27.2946555469, 610.864724171)	(0.392289387585, 0.323469200053, 0.536215820312)	(23.0633154702, 197.587730736, 66.5457863281)	(0.544887729603, 0.399524634403)	2.18	0			
1461346976251547.0	(-13.9903957191, 32.3723567967, 612.130376846)	(0.589621965908, 0.293415625782, 0.540434570312)	(-9.40150148426, 198.916747589, 67.0846143741)	(0.481702021245, 0.394578535211)	2.16	0	(43.9957223069, 27.2894696982, 610.872429237)	(0.392294766513, 0.323502711303, 0.536241455078)	(21.8975108347, 198.196205363, 66.7924823677)	(0.542618744326, 0.397260121464)	2.19	0			
1461346976259899.0	(-13.9870463707, 32.3740960343, 612.14097271)	(0.589610118426, 0.293408346983, 0.540469970703)	(-9.53730705767, 198.277796293, 66.8255620697)	(0.481437705221, 0.396956470812)	2.17	0	(44.0017283257, 27.2846064767, 610.875711612)	(0.39227502505, 0.323533044883, 0.536252441406)	(23.94512652, 196.210156746, 65.9872715886)	(0.546603983106, 0.404651444936)	2.19	0			
1461346976268256.0	(-13.9743706317, 32.3692497325, 612.120015349)	(0.58956795629, 0.293431158233, 0.540399983724)	(-7.67220518905, 199.085127155, 67.1528811028)	(0.485067720535, 0.393951890006)	2.16	0	(44.0182430027, 27.2823173055, 610.91222229)	(0.39222603914, 0.323556431445, 0.536374104818)	(24.2949808739, 197.673614608, 66.5806065331)	(0.547284898548, 0.39920500704)	2.17	0			
1461346976276532.0	(-13.9616373354, 32.368996068, 612.135748685)	(0.589524029906, 0.293437517418, 0.540452473958)	(-6.76928087391, 200.884823259, 67.882538317)	(0.486825066419, 0.387254100266)	2.16	0	(44.0341263762, 27.2815177052, 610.933356644)	(0.392176145514, 0.323566731131, 0.536444498698)	(24.6967119044, 195.590918754, 65.7362117197)	(0.548066780662, 0.406956015056)	2.20	0			
1461346976284844.0	(-13.9562290082, 32.3697141741, 612.139606606)	(0.589505474159, 0.293434325357, 0.540465291341)	(-7.52498178359, 199.035754557, 67.1328637939)	(0.485354258887, 0.394135636186)	2.16	0	(44.0385724399, 27.2811074467, 610.942140704)	(0.392162749757, 0.323571500852, 0.536473795573)	(25.354060222, 197.109509005, 66.3518991848)	(0.549346166255, 0.401304395219)	2.20	0			
1461346976293215.0	(-13.9539569387, 32.3714101671, 612.155081661)	(0.589497093468, 0.293428835356, 0.540516967773)	(-8.11989985632, 199.239919385, 67.2156390689)	(0.484196380194, 0.393375811741)	2.17	0	(44.0413200351, 27.2804150127, 610.9350376)	(0.392151997036, 0.323573811057, 0.536450195312)	(24.084169596, 196.18222724, 65.9759480296)	(0.546874600225, 0.404755388015)	2.19	0			
1461346976301567.0	(-13.9406884525, 32.3767312747, 612.167188856)	(0.589451405507, 0.293400221767, 0.540557250976)	(-5.75781549029, 198.721280142, 67.0053653094)	(0.488793663896, 0.395305991285)	2.16	0	(44.0537343287, 27.281955293, 610.928286615)	(0.392108368953, 0.323562592531, 0.536427612305)	(24.6092410779, 198.337831368, 66.8499023044)	(0.547896537715, 0.396733042919)	2.17	0			
1461346976309854.0	(-13.921964558, 32.3812692397, 612.188348329)	(0.589386819355, 0.293379148296, 0.540627848307)	(-6.83994943571, 199.98167383, 67.5163712208)	(0.486687525427, 0.390615281615)	2.15	0	(44.0707317749, 27.2836439403, 610.916133146)	(0.392048061981, 0.323549015701, 0.536387125651)	(24.6751911973, 196.206256537, 65.9856903129)	(0.548024895285, 0.404665960043)	2.18	0			
1461346976318169.0	(-13.9076329026, 32.3852028375, 612.206246878)	(0.589337309632, 0.293360756647, 0.54068745931)	(-7.42427355589, 199.819554804, 67.4506427257)	(0.485550265559, 0.391218627449)	2.17	0	(44.0827239577, 27.2839508645, 610.91673383)	(0.392007341472, 0.323547221071, 0.536389160156)	(24.9787338601, 196.185065548, 65.9770987747)	(0.548615675088, 0.404744824907)	2.19	0			
1461346976326526.0	(-13.8991737353, 32.3871258663, 612.227594111)	(0.589307659327, 0.293355681098, 0.540758666992)	(-6.07199997075, 199.419277816, 67.2883569978)	(0.488182172108, 0.392708307345)	2.16	0	(44.0924868705, 27.28300574, 610.935710597)	(0.391977868841, 0.323557881802, 0.536452433268)	(24.1984537143, 197.92657432, 66.6831648918)	(0.547097029417, 0.398263586453)	2.18	0			
1461346976334886.0	(-13.8932574328, 32.3864769534, 612.248359272)	(0.589286720641, 0.293366050779, 0.540827840169)	(-6.71333087494, 198.593004961, 66.953358245)	(0.486933960928, 0.3957833831)	2.15	0	(44.103024481, 27.281625063, 610.962434171)	(0.391947300313, 0.323573219353, 0.536541544596)	(26.3981430184, 198.567412483, 66.9429821953)	(0.551378246435, 0.395878628646)	2.18	0			
1461346976343235.0	(-13.8785569222, 32.3909723582, 612.254524995)	(0.589236425964, 0.293340594026, 0.540848388672)	(-6.28879786043, 201.713200751, 68.2183903605)	(0.487760222148, 0.384171191844)	2.16	0	(44.1208989319, 27.2847130934, 610.999887699)	(0.391893822512, 0.323564211804, 0.536666259766)	(26.6910902593, 196.678981648, 66.177348942)	(0.551948404553, 0.402906655572)	2.17	0			
