Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1461952207776133.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	pst	120
1461952207784421.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461952207792677.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461952207801007.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461952207809383.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461952207817734.0	(22.8795422632, 5.8722476747, 721.305710962)	(0.475271233493, 0.459110912511, 0.904352416992)	(131.724994477, 181.392561555, 59.9797210859)	(0.756374064766, 0.459796942483)	3.09	3	(22.8612544913, 5.87226920698, 721.305711054)	(0.475326194599, 0.459111008836, 0.904352416992)	(45.1049388061, 156.668780502, 49.9558702938)	(0.587786957583, 0.551809525484)	3.06	1		
1461952207826093.0	(22.3268149545, 6.14656306895, 758.395583384)	(0.479933914245, 0.459227294424, 1.02798522949)	(127.504180173, 215.541484614, 73.8248408405)	(0.748159167327, 0.332707537722)	3.09	3	(22.3094215156, 6.1465834818, 758.395583458)	(0.479984197482, 0.459227383977, 1.02798522949)	(36.7363705592, 190.228792872, 63.5622258858)	(0.571499358815, 0.42691182407)	3.05	1		
1461952207834359.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461952207842678.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461952207851048.0	(22.2709800612, 6.11906420119, 763.533382175)	(0.480493137621, 0.459562583051, 1.04511128743)	(130.362233226, 214.751779419, 73.5046678446)	(0.753721746255, 0.335646522447)	3.11	3	(22.2537036881, 6.11908425345, 763.533382246)	(0.480542820475, 0.459562672951, 1.04511128743)	(38.9568719877, 189.158127236, 63.1281420957)	(0.575821082109, 0.430896437528)	3.07	1		
1461952207859402.0	(22.2927879646, 6.30923248743, 792.299599357)	(0.482580526604, 0.459735072746, 1.14099873861)	(126.87511008, 222.997020119, 76.8475652092)	(0.746934819152, 0.304960848088)	3.35	3	(21.9491288755, 6.17426290892, 781.138918196)	(0.482732636759, 0.459965779296, 1.10379638672)	(33.9024373223, 197.909098066, 66.6760794317)	(0.565983723866, 0.398328626476)	3.26	1		
1461952207867687.0	(22.0338983623, 6.22280658263, 781.138918987)	(0.482492578625, 0.459732749824, 1.10379638672)	(135.987685748, 214.79244156, 73.5211536418)	(0.764670466617, 0.335495193301)	3.20	3	(22.0170115396, 6.22282607641, 781.138919051)	(0.48254028368, 0.459732837168, 1.10379638672)	(42.4202193626, 188.44410901, 62.8386551377)	(0.582561734843, 0.433553743917)	3.17	1		
1461952207876003.0	(22.0513143127, 6.18900861333, 782.39268725)	(0.482535997993, 0.45994085099, 1.10797566732)	(124.160295742, 246.238362911, 86.2703857667)	(0.741651023243, 0.21846534086)	3.05	3	(22.0823485322, 6.15381420432, 782.392672243)	(0.482448858211, 0.460108545299, 1.10797566732)	(24.290023058, 225.57171736, 77.891433901)	(0.547275249237, 0.295378796576)	3.02	1		
1461952207884359.0	(22.0698184214, 6.17641253449, 783.301876528)	(0.482550712975, 0.460034477888, 1.11100626628)	(133.114043535, 243.984142175, 85.3564490082)	(0.759077546779, 0.226854699759)	3.06	3	(22.0739197928, 6.14665027317, 783.302544577)	(0.482539558116, 0.460176389875, 1.11100850423)	(37.0505113415, 222.118993214, 76.4915836276)	(0.572110765554, 0.308228532884)	3.03	1		
1461952207892718.0	(22.0678987861, 6.15565083423, 783.302545355)	(0.482556422629, 0.460133532109, 1.11100850423)	(129.122075936, 224.262641458, 77.3606905859)	(0.751308049701, 0.300250683074)	3.15	3	(22.0510586416, 6.15567001268, 783.302545419)	(0.482603892866, 0.460133620539, 1.11100850423)	(35.3581721585, 198.215648585, 66.8003653026)	(0.568816995248, 0.397187761129)	3.11	1		
1461952207901074.0	(22.2312090373, 6.07727057426, 773.523206694)	(0.481367878806, 0.460144986231, 1.07841064453)	(116.270213036, 228.751914666, 79.1807926449)	(0.726294692558, 0.283543302323)	3.11	3	(22.2141558809, 6.07728998477, 773.523206761)	(0.481416424657, 0.460145076492, 1.07841064453)	(23.6441383523, 203.55810258, 68.9663754933)	(0.546018175073, 0.377305163455)	3.08	1		
1461952207909355.0	(23.4400216483, 6.30528195768, 801.028765915)	(0.480032104235, 0.460060752728, 1.1700958252)	(115.955338852, 274.26435656, 97.6330643978)	(0.725681858413, 0.114163168737)	2.93	3	(23.4754714748, 6.30529528086, 801.028768104)	(0.479933917181, 0.460060318663, 1.1700958252)	(13.5954538521, 248.863325264, 87.3346336222)	(0.526460595275, 0.208696221569)	2.90	1		
1461952207917662.0	(22.2307998939, 6.16761816389, 783.302573741)	(0.482097081299, 0.460074723231, 1.11100850423)	(121.847919469, 263.725206111, 93.3601390164)	(0.737150485537, 0.153385909524)	2.82	3	(22.2670076344, 6.16763177007, 783.302576117)	(0.481995015806, 0.460074271734, 1.11100850423)	(21.7003478305, 238.392886906, 83.0895664294)	(0.542235009402, 0.247663241882)	2.78	1		
1461952207926034.0	(23.1217672, 5.6372920967, 716.396432274)	(0.474118019408, 0.460126169198, 0.887988077799)	(127.100443136, 182.942975679, 60.6083110178)	(0.747373380957, 0.454026886196)	2.93	3	(23.1033541342, 5.63731304878, 716.396432367)	(0.474173648683, 0.460126270971, 0.887988077799)	(41.081781559, 158.546611619, 50.7172060655)	(0.579956756635, 0.544820946709)	2.90	1		
