Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	iti_mean	iti_range	trialvec
1459956491405384.0	(4.59766879988, 41.755572899, 720.987780186)	(0.52971753516, 0.273664047942, 0.903292643229)	(15.4854657921, 139.383391396, 42.9477932963)	(0.530139092627, 0.616139220706)	4.20	3	(4.59767148497, 41.7556433443, 720.987780301)	(0.529717526138, 0.273663683515, 0.903292643229)	(-8.5057405887, 118.180795887, 34.351549326)	(0.48344542509, 0.695047279916)	4.25	1	oddball	1459956493399076	1459956494190298	3	2	0.0
1459956491413636.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1459956497784387	1459956498117254			0.0
1459956491421986.0	(-61.4203098303, 45.784940099, 712.295560196)	(0.729611519317, 0.25027532183, 0.874318440755)	(-86.2510519706, 141.806449986, 43.9301825883)	(0.332131078298, 0.607121511031)	4.35	0	(4.60510960549, 41.7241351915, 721.118331949)	(0.529699251314, 0.273864755514, 0.903727823893)	(-9.83926034482, 133.868649464, 40.7119317922)	(0.480850018792, 0.636663009067)	4.29	0		1459956501849678	1459956502166108			0.0
1459956491430344.0	(-60.2286219742, 45.2298050113, 703.343949445)	(0.727662891425, 0.250242894462, 0.844479777018)	(-79.0648567075, 139.6827676, 43.0691704592)	(0.3461174451, 0.615025055451)	4.30	0	(4.62162044573, 41.7021117588, 720.95719939)	(0.529645443736, 0.273931588042, 0.903190714518)	(-11.1139928823, 116.015026961, 33.4734739006)	(0.478369029034, 0.703107454557)	4.29	0		1459956506587275	1459956506989734			0.0
1459956491438699.0	(-60.2247372547, 45.2195535838, 703.354261469)	(0.727649248666, 0.250300762715, 0.844514160156)	(-74.8220223876, 139.165533206, 42.8594662725)	(0.354375199713, 0.616950006678)	4.32	0	(5.84820930119, 41.4420761196, 716.435764891)	(0.525818581368, 0.273951777682, 0.888119303385)	(-5.99363879591, 123.716059474, 36.5957309977)	(0.488334685099, 0.674447117701)	4.35	0		1459956510113507	1459956510397509			0.0
1459956491446981.0	(-60.2141349861, 45.2092929744, 703.332208094)	(0.727621080506, 0.250347892182, 0.844440714518)	(-71.9350901007, 139.069002147, 42.820329341)	(0.359993985791, 0.617309258849)	4.29	0	(5.26380787603, 40.830862988, 705.854262394)	(0.52726691534, 0.274031429726, 0.852847493489)	(-10.7745808175, 118.858648751, 34.626373632)	(0.47902962083, 0.692524567358)	4.33	0		1459956513429568	1459956513888528			0.0
1459956491455299.0	(-60.6742533096, 46.0897017944, 717.131681645)	(0.726455837881, 0.250261482338, 0.890438842773)	(-71.7685963769, 145.856803023, 45.5723316759)	(0.360318029628, 0.592047625519)	4.35	0	(5.27850359875, 40.8222550005, 705.854742472)	(0.52722217009, 0.274076961068, 0.852849121094)	(-10.1076150153, 117.856893474, 34.2202284149)	(0.480327724766, 0.696252722463)	4.35	0		1459956518838859	1459956519159079			0.0
1459956491463653.0	(-60.6490917331, 46.0696519723, 716.868992514)	(0.726428258126, 0.250280185265, 0.889563395182)	(-70.4233741647, 137.912637452, 42.3515002755)	(0.362936212213, 0.621612811864)	4.34	0	(5.29877569836, 40.8165393073, 705.834297766)	(0.527159704137, 0.274100961492, 0.852780965169)	(-13.814918332, 117.788175975, 34.192368034)	(0.473112264827, 0.696508463062)	4.36	0		1459956521509185	1459956521973787			1.0
1459956491472014.0	(-60.6310216172, 46.0664522132, 716.832194236)	(0.726380507151, 0.250284785515, 0.889440714518)	(-72.1200139259, 141.378399118, 43.756636397)	(0.359634071767, 0.608714554828)	4.29	0	(5.31267840317, 40.8100145733, 705.79287367)	(0.527116044659, 0.274123024953, 0.852642822266)	(-12.9845580155, 118.812592371, 34.6077008295)	(0.474728380663, 0.692695971824)	4.33	0		1459956525134633	1459956525453855			0.0
1459956491480367.0	(-60.1696919154, 45.2271011179, 703.332221661)	(0.727484685799, 0.250253110164, 0.844440714518)	(-70.2064710489, 128.541069369, 38.5519519803)	(0.363358366973, 0.656490251695)	4.24	0	(4.75820129982, 41.5756066684, 719.53437864)	(0.52919630529, 0.274170732196, 0.898447875976)	(-17.4739167176, 122.420879024, 36.0706213655)	(0.465990819935, 0.679267290569)	4.47	0		1459956527961997	1459956528367686			0.0
1459956491488640.0	(-60.5629892747, 45.9989145904, 715.63876452)	(0.726394380139, 0.250247118411, 0.885462646484)	(-74.1900932069, 140.510733412, 43.4048555932)	(0.355605112481, 0.611943679152)	4.32	0	(5.3412209289, 40.8058195201, 705.814734431)	(0.527029615072, 0.274151544103, 0.852715861002)	(-10.2952051324, 117.740768239, 34.1731473464)	(0.479962621385, 0.696684896765)	4.35	0		1459956530813747	1459956531152445			0.0
1459956491496955.0	(-60.5499344398, 46.0225370039, 715.867622249)	(0.726312689583, 0.250198524685, 0.886225382487)	(-72.2001572872, 134.879000108, 41.1215618599)	(0.359478090138, 0.632902865248)	4.29	0	(5.36138329116, 40.8057795992, 705.798563039)	(0.526967532936, 0.274146841578, 0.852661946614)	(-8.69987102686, 119.534620646, 34.9004353299)	(0.483067592396, 0.690008855059)	4.32	0		1459956532832878	1459956533253771			0.0
1459956491505331.0	(-60.528845558, 46.0312359969, 715.947523382)	(0.726234238435, 0.250179139522, 0.886491699219)	(-75.2451645428, 141.383711561, 43.7587902399)	(0.353551645498, 0.608694783919)	4.34	0	(5.38434421625, 40.8033127496, 705.775950702)	(0.526896732607, 0.27415302698, 0.852586466471)	(-8.38426767505, 118.802101911, 34.6034476449)	(0.483681845708, 0.692735013357)	4.27	0		1459956534792117	1459956535160364			0.0
1459956491513682.0	(-60.5164025675, 46.0505756951, 716.178374738)	(0.726154171056, 0.250153594052, 0.887261149088)	(-77.9814772649, 133.885194388, 40.7186396601)	(0.348226007659, 0.636601435101)	4.28	0	(5.40453354458, 40.8057696634, 705.803697727)	(0.5268359114, 0.274148205045, 0.852679036458)	(-10.5147772708, 117.997039622, 34.2770483676)	(0.479535271952, 0.69573115139)	4.31	0		1459956539980793	1459956540375528			1.0
1459956491521938.0	(-60.4925331187, 46.044730597, 715.952750226)	(0.726123371718, 0.250110245066, 0.886509195964)	(-70.8593248902, 142.189986069, 44.0856809913)	(0.362087728902, 0.605694134465)	4.34	0	(5.41957376018, 40.8027543391, 705.806639812)	(0.526790112302, 0.274164931007, 0.852688802083)	(-9.41144140522, 116.645230955, 33.7289797551)	(0.48168267535, 0.700762073112)	4.31	0		1459956543941147	1459956544383841			0.0
1459956491530286.0	(-60.4991459353, 46.099173507, 716.771991418)	(0.725992967007, 0.250093947886, 0.889239908854)	(-68.3353430137, 140.681555023, 43.4741124088)	(0.367000110911, 0.611307945577)	4.31	0	(4.79544660214, 41.6689803825, 721.305618952)	(0.529133548524, 0.274203670656, 0.904352010091)	(-7.17294174067, 125.098114296, 37.156062417)	(0.486039428298, 0.6693036312)	4.40	0		1459956549245685	1459956549686573			0.0
1459956491538637.0	(-60.4497425451, 46.0541272612, 715.971861229)	(0.725990476361, 0.250067260161, 0.886572875977)	(-73.0415015214, 139.871645992, 43.1457480995)	(0.357840596494, 0.614322121356)	4.29	0	(5.46351434634, 40.7993398901, 705.769278622)	(0.526654779989, 0.274171628119, 0.852564290364)	(-12.8622324074, 122.454271747, 36.0841598962)	(0.474966460865, 0.679143015456)	4.40	0		1459956553565541	1459956553934802			0.0
