Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1436445792542006.0	(-17.4756494363, 62.1855256246, 570.941454841)	(0.580352373282, 0.196018399753, 0.403138224284)	(-1.22438951783, 165.868635381, 47.0528589055)	(0.496377545805, 0.475884928144)	4.51	0	(42.460769349, 63.6940364153, 565.814523981)	(0.398384280611, 0.185811451903, 0.386048380534)	(-1.84268958891, 162.773490055, 45.8647732154)	(0.494548255654, 0.487984792592)	3.61	0		
1436445792558634.0	(-17.5068575179, 62.1832473281, 570.941452744)	(0.580446638171, 0.196029993146, 0.403138224284)	(-2.98848303208, 163.359830236, 46.0898425758)	(0.491158334225, 0.485692610492)	4.51	0	(40.956765978, 63.3843726035, 565.814516932)	(0.40295592827, 0.187415072531, 0.386048380534)	(4.80557531311, 166.324993972, 47.2280342382)	(0.514217678441, 0.474100883611)	3.65	0		
1436445792575378.0	(-16.7191845221, 62.255790909, 570.941457973)	(0.578067575356, 0.195659545716, 0.403138224284)	(-2.85022314857, 165.068155637, 46.7455910945)	(0.491567387134, 0.479014246924)	4.65	0	(42.4367215207, 63.6896347187, 565.814523966)	(0.398457382235, 0.18583422673, 0.386048380534)	(3.66231495738, 167.446749374, 47.65862518)	(0.510835251353, 0.46971560057)	3.58	0		
1436445792592002.0	(-18.3356676687, 62.0606196156, 570.941454026)	(0.582949576416, 0.196659528803, 0.403138224284)	(-2.55836658528, 164.243814153, 46.4291638455)	(0.492430868091, 0.482236848503)	4.61	0	(40.9034276335, 63.3842501989, 565.8145169)	(0.403118149127, 0.187415340327, 0.386048380534)	(7.53354812205, 162.196638255, 45.6433460137)	(0.522288603911, 0.490239881722)	3.70	0		
1436445792608640.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1436445792625306.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1436445792641906.0	(-17.1507746028, 60.7972507506, 557.737781073)	(0.580145900644, 0.196195001087, 0.359125976562)	(-3.43450270013, 158.543362444, 44.2410193839)	(0.489838749408, 0.504521647989)	4.54	0	(40.7946466778, 62.2154773966, 553.321787537)	(0.401263677822, 0.186625733008, 0.344405924479)	(1.05179187391, 157.346879565, 43.781743958)	(0.503111810278, 0.509199063469)	3.62	0		
1436445792658533.0	(-17.1752527332, 60.8157603611, 557.745651236)	(0.580220817723, 0.196101125657, 0.35915222168)	(-0.581435706816, 152.985928733, 42.1077730349)	(0.498279776015, 0.526247346625)	4.60	0	(40.7761892484, 62.2112478322, 553.525885727)	(0.401356819123, 0.186762874717, 0.345086263021)	(3.69767932351, 160.02290159, 44.8089472523)	(0.510939879655, 0.498737679476)	3.64	0		
1436445792675283.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1436445792691906.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1436445792708572.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1436445792725156.0	(-17.1922496954, 60.7707076057, 557.866688846)	(0.580265341771, 0.196405199646, 0.359555664062)	(-5.45364965719, 157.33661324, 43.7778031822)	(0.483864941843, 0.509239197655)	4.62	0	(40.780283984, 62.2042885734, 553.558247397)	(0.401349826876, 0.186818122657, 0.345194091797)	(-0.306561755089, 156.835972095, 43.5856297888)	(0.499093012559, 0.511196356158)	3.73	0		
1436445792741905.0	(-17.2133038025, 60.7292759247, 557.796085799)	(0.580334002685, 0.196586051952, 0.35932027181)	(-5.01553295292, 159.939982045, 44.7771182058)	(0.485161145109, 0.499061837195)	4.65	0	(40.7657594936, 62.2020682164, 553.747574746)	(0.401428169072, 0.186936188733, 0.345825195312)	(1.24286115613, 159.529817006, 44.6196744794)	(0.503677104012, 0.500665297083)	3.71	0		
1436445792758527.0	(-17.2402133696, 60.7215620187, 557.77206288)	(0.580418113609, 0.196613674431, 0.359240112305)	(-6.78116508066, 159.537836868, 44.62275294)	(0.479937381418, 0.500633945004)	4.65	0	(40.7412052488, 62.1984509704, 553.759231218)	(0.40150607405, 0.186961801845, 0.345864054362)	(0.276546704945, 158.870452468, 44.3665743855)	(0.500818185518, 0.503242953605)	3.73	0		
1436445792775168.0	(-17.2763815828, 60.7314913514, 557.858621217)	(0.580524079476, 0.196607817129, 0.359528808594)	(-6.27120554117, 159.583839279, 44.6404111761)	(0.481446137452, 0.500454107586)	4.68	0	(40.6962832177, 62.1951499078, 553.477281007)	(0.401595097758, 0.186820656891, 0.344924316406)	(-1.27840603486, 157.116918221, 43.6934722446)	(0.496217733624, 0.510098052301)	3.76	0		
1436445792791777.0	(-17.3191537573, 60.72636956, 557.857257408)	(0.5806555763, 0.196633898493, 0.359524129232)	(-5.12488445838, 161.426676661, 45.3477927341)	(0.484837619945, 0.493249895773)	4.68	0	(40.6420546133, 62.2229716249, 553.559490479)	(0.401777465394, 0.186718430205, 0.345198364258)	(0.753682488258, 156.825399295, 43.5815713712)	(0.502229829847, 0.511237688449)	3.76	0		
1436445792808402.0	(-17.3567232138, 60.7292775081, 557.913452233)	(0.580767615532, 0.196648725258, 0.359711507161)	(-6.40321281803, 160.678464768, 45.0605881766)	(0.481055583379, 0.496174883627)	4.72	0	(40.6193819967, 62.2519106655, 553.710405007)	(0.401874377888, 0.186649133666, 0.345701293945)	(1.62269894097, 155.818078884, 43.194906824)	(0.504800884441, 0.515175610306)	3.77	0		
1436445792825151.0	(-17.3872089583, 60.7326197225, 557.952568649)	(0.580858924382, 0.196652040281, 0.359841918945)	(-5.94350986126, 160.741899338, 45.0849378266)	(0.482415651298, 0.495926898599)	4.71	0	(40.5960813687, 62.2630731816, 553.755965458)	(0.401954499252, 0.186615199556, 0.345853271484)	(-0.316496137547, 158.925888115, 44.3878536124)	(0.499063620895, 0.503026238798)	3.80	0		
1436445792841773.0	(-17.4169257054, 60.7371772734, 557.966118012)	(0.58094944637, 0.196635068414, 0.359887084961)	(-6.79560789559, 158.23222481, 44.1215877799)	(0.479894651196, 0.505737979632)	4.73	0	(40.5700965828, 62.2807298056, 553.875450204)	(0.40205596128, 0.186588263919, 0.346251424153)	(-0.0595139938093, 157.455344021, 43.8233785356)	(0.499823923095, 0.508775042921)	3.82	0		
1436445792858399.0	(-17.4429834327, 60.7510068108, 558.04691368)	(0.581024646485, 0.196605517594, 0.36015645345)	(-7.63789797851, 159.049720299, 44.4353871626)	(0.477402668703, 0.502542141129)	4.75	0	(40.523351, 62.2744074443, 553.785770476)	(0.402184579753, 0.186571150424, 0.345952555338)	(-0.0443356463438, 155.372097158, 43.0237146988)	(0.499868829449, 0.516919088514)	3.86	0		
1436445792875024.0	(-17.4604166282, 60.7561744964, 558.081356482)	(0.581076126236, 0.196596730676, 0.360271199544)	(-7.02738740379, 159.737141248, 44.6992568378)	(0.479208913006, 0.499854803566)	4.77	0	(40.5002823011, 62.2786891267, 553.792220737)	(0.402257031552, 0.186551839007, 0.345974121094)	(1.27910783306, 157.444386252, 43.8191723461)	(0.503784342701, 0.50881788017)	3.88	0		
1436445792891771.0	(-17.4822339698, 60.760620529, 558.122105196)	(0.581140674818, 0.196595151517, 0.360407104492)	(-5.9039085598, 161.398668872, 45.337041816)	(0.482532814912, 0.49335938674)	4.77	0	(40.4860043615, 62.2794300537, 553.775096631)	(0.402298150373, 0.18653816969, 0.345916951497)	(-0.114645328368, 156.397427665, 43.4172925035)	(0.499660812638, 0.512910759716)	3.87	0		
