Timestamp	soundtime	trialvec	LeftPupil	RightPupil
1374603125926380	1374603127945803	0	-1	-1
1374603125944129	1374603134169911	0	-1	-1
1374603125958878	1374603139925663	0	-1	-1
1374603125975544	1374603142627833	0	-1	-1
1374603125990334	1374603145178783	0	-1	-1
1374603126007000	1374603151149843	1	-1	-1
1374603126021748	1374603157164300	0	-1	-1
1374603126038373	1374603163445611	0	-1	-1
1374603126055063	1374603169531875	0	-1	-1
1374603126071729	1374603172312273	0	-1	-1
1374603126088425	1374603175486243	1	-1	-1
1374603126105091	1374603181274043	0	-1	-1
1374603126121734	1374603183588335	0	-1	-1
1374603126138400	1374603186675541	0	-1	-1
1374603126154994	1374603189292382	0	-1	-1
1374603126171619	1374603194657494	1	-1	-1
1374603126188305	1374603198826635	0	-1	-1
1374603126204971	1374603204981263	0	-1	-1
1374603126221619	1374603209041592	0	3.721389771	3.868515015
1374603126238240	1374603212590364	1	3.637374878	3.783401489
1374603126254864	1374603215336207	0	3.757614136	3.802139282
1374603126271489	1374603221729812	0	3.708938599	3.842681885
1374603126288239	1374603227658423	0	3.759933472	3.775604248
1374603126304863	1374603232677039	0	3.750961304	3.857070923
1374603126321487	1374603236791596	1	3.779647827	3.794723511
1374603126338111	1374603241899218	0	3.81867981	3.847763062
1374603126354861	1374603246389870	0	3.739395142	3.802886963
1374603126371483	1374603249693551	0	3.711685181	3.829833984
1374603126388108	1374603252523037	0	3.739028931	3.822433472
1374603126404732	1374603258667040	1	3.675552368	3.792953491
1374603126421356	1374603261844005	0	3.690002441	3.779586792
1374603126438106	1374603265988832	0	3.687896729	3.786911011
1374603126454731	1374603269484282	0	3.701309204	3.801681519
1374603126471356	1374603274226580	0	3.721343994	3.789047241
1374603126487980	1374603279365109	0	3.690933228	3.793991089
1374603126504729			3.705627441	3.800384521
1374603126521354			3.720046997	3.784423828
1374603126537978			3.730010986	3.789505005
1374603126554601			3.747390747	3.78477478
1374603126571351			3.743896484	3.804214478
1374603126587974			3.731155396	3.781295776
1374603126604599			3.718154907	3.781417847
1374603126621224			3.701309204	3.771179199
1374603126637848			3.720901489	3.77772522
1374603126654598			3.718429565	3.777709961
1374603126671222			3.735900879	3.775131226
1374603126687846			3.723556519	3.784927368
1374603126704471			3.688186646	3.777893066
1374603126721221			3.694335938	3.773223877
1374603126737843			3.682067871	3.780105591
1374603126754467			3.695831299	3.786407471
1374603126771092			3.687515259	3.79234314
1374603126787841			3.672302246	3.799240112
1374603126804466			3.664321899	3.773406982
1374603126821090			3.668304443	3.801376343
1374603126837715			3.670822144	3.768997192
1374603126854346			3.670959473	3.786712646
1374603126871088			3.671142578	3.769790649
1374603126887713			3.66003418	3.77507019
1374603126904345			3.675094604	3.779403687
1374603126920960			3.676101685	3.785217285
1374603126937710			3.697998047	3.778121948
1374603126954341			3.683609009	3.762969971
1374603126970959			3.694198608	3.783920288
1374603126987584			3.717071533	3.788604736
1374603127004213			3.728744507	3.795410156
1374603127020957			3.743591309	3.797409058
1374603127037596			3.757537842	3.792633057
1374603127054206			3.753860474	3.782699585
1374603127070831			3.752212524	3.786056519
1374603127087581			3.754470825	3.793945313
1374603127104202			3.753692627	3.797409058
1374603127120827			3.773773193	3.810852051
1374603127137451			3.778335571	3.816314697
1374603127154201			3.780807495	3.810913086
1374603127170826			3.814453125	3.807617188
1374603127187461			3.812133789	3.794021606
1374603127204075			3.803543091	3.803649902
1374603127220699			3.796691895	3.805206299
1374603127237448			3.823745728	3.81161499
1374603127254073			3.814849854	3.815887451
1374603127270698			3.825714111	3.804946899
1374603127287320			3.82244873	3.817443848
1374603127304069			3.810928345	3.822341919
1374603127320693			3.813903809	3.817886353
1374603127337318			3.824264526	3.81237793
1374603127353943			3.822723389	3.827392578
1374603127370567			3.812088013	3.832855225
1374603127387317			3.820053101	3.823150635
1374603127403941			3.835906982	3.821289063
1374603127420569			3.831710815	3.827514648
1374603127437200			3.826599121	3.831893921
1374603127453940			3.815200806	3.829345703
1374603127470563			3.812744141	3.844726563
1374603127487187			3.819747925	3.847763062
1374603127503811			3.800033569	3.862365723
1374603127520573			3.814834595	3.866317749
1374603127537186			3.833114624	3.86315918
1374603127553809			3.815536499	3.865341187
1374603127570434			3.83430481	3.884246826
1374603127587058			3.852920532	3.89616394
1374603127603808			3.844894409	3.8959198
1374603127620433			3.849395752	3.908462524
1374603127637058			3.848297119	3.896591187
1374603127653679			3.852554321	3.904098511
1374603127670429			3.869033813	3.911254883
1374603127687053			3.863693237	3.910797119
1374603127703678			3.873474121	3.919754028
1374603127720303			3.871124268	3.923233032
1374603127737052			3.870132446	3.941009521
1374603127753676			3.875427246	3.92628479
1374603127770300			3.875228882	3.938369751
1374603127786925			3.884246826	3.96647644
1374603127803557			3.874832153	3.957000732
1374603127820299			3.865203857	3.953277588
1374603127836922			3.87147522	3.948776245
1374603127853546			3.863464355	3.945556641
1374603127870170			3.857040405	3.931732178
1374603127886920			3.862960815	3.943572998
1374603127903551			3.843231201	3.941741943
1374603127920169			3.834320068	3.935333252
1374603127936793			3.844223022	3.930175781
1374603127953421			3.833190918	3.918502808
1374603127970167			3.849212646	3.91835022
1374603127986793			3.841674805	3.912094116
1374603128003416			3.837814331	3.91545105
1374603128020039			3.827331543	3.909927368
1374603128036788			3.82711792	3.90965271
1374603128053412			3.844696045	3.900680542
1374603128070038			3.859680176	3.896652222
1374603128086662			3.846176147	3.887680054
1374603128103286			3.839416504	3.891433716
1374603128120036			3.836349487	3.868469238
1374603128136660			3.85836792	3.886123657
1374603128153286			3.85546875	3.87677002
1374603128169909			3.858535767	3.877243042
1374603128186659			3.864593506	3.871688843
1374603128203281			3.860366821	3.872024536
1374603128219905			3.839691162	3.865661621
1374603128236530			3.848983765	3.861251831
1374603128253280			3.865234375	3.877227783
1374603128269904			3.865386963	3.868255615
1374603128286530			3.841430664	3.866653442
1374603128303164			3.837524414	3.856735229
1374603128319777			3.817260742	3.85307312
1374603128336529			3.829788208	3.839797974
1374603128353152			3.831314087	3.842803955
1374603128369776			3.813583374	3.834838867
1374603128386398			3.794082642	3.824890137
1374603128403148			3.804702759	3.816955566
1374603128419773			3.790054321	3.798110962
1374603128436397			3.791244507	3.798492432
1374603128453021			3.791061401	3.78414917
1374603128469771			3.777648926	3.78755188
1374603128486395			3.77557373	3.787857056
1374603128503020			3.769546509	3.790679932
1374603128519645			3.776779175	3.778106689
1374603128536269			3.771820068	3.789245605
1374603128553018			3.772399902	3.792007446
1374603128569641			3.778549194	3.786376953
1374603128586265			3.784713745	3.797821045
1374603128602890			3.770675659	3.803359985
1374603128619640			3.772918701	3.809402466
1374603128636264			3.810424805	3.828765869
1374603128652888			3.800323486	3.822235107
1374603128669512			3.807067871	3.832199097
1374603128686148			3.800994873	3.831817627
1374603128702887			3.812805176	3.842712402
1374603128719511			3.815032959	3.844482422
1374603128736138			3.842025757	3.853012085
1374603128752758			3.837173462	3.848800659
1374603128769507			3.852310181	3.851623535
1374603128786133			3.825485229	3.865753174
1374603128802757			3.824569702	3.855484009
1374603128819381			3.84677124	3.862960815
1374603128836130			3.838180542	3.87071228
1374603128852755			3.84765625	3.867843628
1374603128869380			3.851791382	3.863433838
1374603128886004			3.850891113	3.871566772
1374603128902628			3.853897095	3.886810303
1374603128919378			3.874404907	3.890609741
1374603128936000			3.861999512	3.882766724
1374603128952624			3.868423462	3.887939453
1374603128969249			3.880325317	3.888320923
1374603128985999			3.873596191	3.881652832
1374603129002623			3.86869812	3.88369751
1374603129019253			3.86151123	3.885467529
1374603129035872			3.877410889	3.897415161
1374603129052627			3.883132935	3.88243103
1374603129069247			3.883132935	3.890014648
1374603129085871			3.891738892	3.892486572
1374603129102496			3.898895264	3.899002075
1374603129119124			3.911056519	3.902206421
1374603129135867			3.89894104	3.925888062
1374603129152492			3.88923645	3.913131714
1374603129169122			3.906784058	3.923721313
1374603129185741			3.925109863	3.92678833
1374603129202490			3.918716431	3.931274414
1374603129219116			3.944915771	3.941009521
1374603129235739			3.934890747	3.936279297
1374603129252364			3.91973877	3.948989868
1374603129268989			3.926971436	3.947601318
1374603129285738			3.934402466	3.949951172
1374603129302368			3.935791016	3.963760376
1374603129318985			3.925750732	3.960174561
1374603129335609			3.942596436	3.966506958
1374603129352358			3.927871704	3.974685669
1374603129368983			3.947967529	3.964859009
1374603129385607			3.948822021	3.980697632
1374603129402233			3.93800354	3.971160889
1374603129418857			3.925689697	3.975585938
1374603129435606			3.956436157	3.962799072
1374603129452231			3.935958862	3.970443726
1374603129468855			3.925506592	3.972320557
1374603129485476			3.929992676	3.985931396
1374603129502227			3.959838867	3.994384766
1374603129518852			3.792510986	3.934280396
1374603129535476			-1	-1
1374603129552100			-1	-1
1374603129568850			-1	-1
1374603129585474			-1	-1
1374603129602099			-1	-1
1374603129618723			-1	-1
1374603129635410			-1	-1
1374603129652076			-1	-1
1374603129668710			-1	-1
1374603129685376			-1	-1
1374603129702036			-1	-1
1374603129718702			-1	-1
1374603129735368			-1	-1
1374603129751980			-1	-1
1374603129768646			-1	-1
1374603129785308			-1	-1
1374603129801974			-1	-1
1374603129818590			4.00138855	4.093673706
1374603129835214			4.01965332	4.093643188
1374603129851837			3.985839844	4.119155884
1374603129868586			4.006912231	4.113418579
1374603129885211			4.01210022	4.121429443
1374603129901835			4.003356934	4.125686646
1374603129918459			4.0234375	4.120758057
1374603129935209			4.019638062	4.109329224
1374603129951834			4.021514893	4.113708496
1374603129968459			4.032562256	4.125732422
1374603129985083			4.045974731	4.130722046
1374603130001832			4.052688599	4.140487671
