Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1459956145424755.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	pst	120
1459956145433040.0	(-62.0872563917, 59.686870319, 718.056861283)	(0.73031291785, 0.179779795049, 0.893522949219)	(-73.3344447906, 89.1261382854, 22.5718157976)	(0.357270446106, 0.803177751078)	4.44	3	(-62.0819042595, 59.686954392, 718.05686173)	(0.730296790406, 0.179779348541, 0.893522949219)	(-97.2065328606, 71.5547902235, 15.4478014401)	(0.310808616464, 0.86857167762)	4.50	1		
1459956145441296.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1459956145449642.0	(-62.1061750496, 59.7690244285, 718.918835366)	(0.73020777483, 0.179715694936, 0.896396077474)	(-68.5300298798, 84.0022623974, 20.494424509)	(0.366621195251, 0.822246883523)	4.20	3	(-62.1004964896, 59.7691081616, 718.918835808)	(0.730190679655, 0.179715250178, 0.896396077474)	(-92.8340370585, 67.0161900441, 13.6077005709)	(0.319318728963, 0.885462634744)	4.25	1		
1459956145457998.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1459956145466342.0	(-62.1097083404, 59.8104030357, 719.295698729)	(0.730147516032, 0.179659330799, 0.89765238444)	(-57.4069041441, 79.1348321154, 18.5210048777)	(0.388269941331, 0.840361622198)	4.15	3	(-62.1051426928, 59.8104876076, 719.29569918)	(0.730133776485, 0.179658883787, 0.89765238444)	(-82.4523146904, 62.4212257432, 11.7447477948)	(0.339524494569, 0.902563357859)	4.20	1		
1459956145474695.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1459956145482978.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1459956145491300.0	(-62.0766571351, 59.7841554057, 718.837621319)	(0.730133785784, 0.179602735287, 0.896125488281)	(-50.1357604988, 79.1985349338, 18.5468321388)	(0.402421641692, 0.840124544348)	4.19	3	(-62.066644265, 59.7842357955, 718.837621721)	(0.730103640878, 0.179602300619, 0.896125488281)	(-76.4619070831, 62.4467951171, 11.7551144773)	(0.351183520663, 0.902468198298)	4.24	1		
1459956145499673.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
