Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1460567277300736.0	(-21.2269149096, 11.2471291252, 693.688065528)	(0.60932114783, 0.429540925471, 0.812293497721)	(-141.676090957, 204.906409509, 69.5130243838)	(0.2242582893, 0.372287273877)	5.10	0	(43.451452305, 7.00930523405, 686.124358603)	(0.407876826476, 0.451177858415, 0.787081095378)	(-93.6097352911, 214.760085173, 73.5080352762)	(0.31780900099, 0.335615611564)	5.40	0	1460567279300733	1460567279516879	lighttest
1460567277308956.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1460567289520707	1460567289737816	
1460567277317283.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1460567299737851	1460567299954295	
1460567277325636.0	(-21.3036210195, 11.2387964971, 693.667892537)	(0.609559971538, 0.42958483732, 0.812226359049)	(-143.861799516, 205.726669, 69.8455851168)	(0.220004282763, 0.369234577595)	5.09	0	(43.3777767673, 7.02268612292, 686.036309815)	(0.408092295563, 0.451101346841, 0.786787719726)	(-94.7395680352, 212.998698364, 72.7939099359)	(0.315610027179, 0.342170828567)	5.40	0	1460567309955448	1460567310170992	
1460567277334002.0	(-21.3226808367, 11.23811163, 693.606110648)	(0.609622648669, 0.429583493658, 0.812020467122)	(-144.806727478, 205.247571164, 69.6513427712)	(0.218165185913, 0.371017598942)	5.08	0	(43.3537954399, 7.02797439565, 685.989264987)	(0.40815941765, 0.451070374358, 0.786630859375)	(-95.3576180852, 213.630123788, 73.0499109991)	(0.314407127121, 0.339820901422)	5.39	0			
1460567277342355.0	(-21.3417933614, 11.2376336421, 693.603093682)	(0.609682017834, 0.429586012298, 0.812010294596)	(-141.996414793, 206.543594287, 70.1767940516)	(0.223634848593, 0.366194289962)	5.09	0	(43.3374750808, 7.03406872018, 686.001468109)	(0.408212310635, 0.451038181749, 0.786671549479)	(-94.542193219, 213.706987328, 73.0810740584)	(0.31599417435, 0.339534844332)	5.39	0			
1460567277350630.0	(-21.3609540577, 11.2368984968, 693.599995984)	(0.609741545313, 0.429589907465, 0.81199991862)	(-142.4656873, 205.679186543, 69.8263341348)	(0.222721511677, 0.369411289381)	5.10	0	(43.3208786236, 7.03852401262, 685.999229203)	(0.408263720645, 0.451014090187, 0.78666402181)	(-94.9702979772, 213.376301037, 72.9470027351)	(0.315160961508, 0.340765533917)	5.38	0			
1460567277358970.0	(-21.3856754946, 11.2370886082, 693.579549986)	(0.609819307203, 0.429587418082, 0.811931762695)	(-141.723954152, 206.422738805, 70.1277951819)	(0.224165133997, 0.366644068461)	5.07	0	(43.296620641, 7.04330542397, 686.004345062)	(0.408340256599, 0.450988721168, 0.786681111653)	(-94.472971355, 214.168010123, 73.2679881756)	(0.316128899659, 0.337819091466)	5.39	0			
1460567277367308.0	(-21.407906819, 11.2351855834, 693.575850114)	(0.609888399215, 0.429597575465, 0.811919555664)	(-143.040739171, 207.973329241, 70.7564565966)	(0.221602298226, 0.360873356007)	5.08	0	(43.2741672623, 7.04574094776, 686.002416202)	(0.408410032451, 0.450975666413, 0.786674804687)	(-95.0847727776, 213.35372214, 72.9378484925)	(0.314938161196, 0.340849564049)	5.40	0			
1460567277375671.0	(-21.4279899013, 11.233908149, 693.568619971)	(0.609951039585, 0.429604047171, 0.811895345052)	(-143.513760403, 206.594570465, 70.1974615052)	(0.220681665234, 0.366004575866)	5.08	0	(43.2551400297, 7.05024124279, 685.9805751)	(0.408465830014, 0.450950283022, 0.786601969401)	(-93.9064283695, 214.856080834, 73.5469551398)	(0.317231552414, 0.335258351938)	5.39	0			
