Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461259553353321.0	(14.7375308413, 45.4253511479, 826.601361418)	(0.504941035045, 0.284000055244, 1.25533793131)	(41.3795541464, 203.597829828, 68.9824822533)	(0.58053630624, 0.377157313628)	4.48	3	(13.645037562, 42.0143843583, 763.154246983)	(0.504826847392, 0.284005063869, 1.0438474528)	(-2.61072360754, 162.573706528, 52.3499255271)	(0.494918794069, 0.529833619175)	4.11	1	1461259555360492	1461259555576681	lighttest
1461259553361621.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461259565577870	1461259565792161	
1461259553369865.0	(12.9113111323, 43.424669625, 789.389779355)	(0.508195321644, 0.284009481324, 1.13129923503)	(46.6816383992, 194.628988583, 65.3462129373)	(0.590855660567, 0.410535956148)	4.20	3	(12.9161235609, 43.4247142633, 789.389779406)	(0.508181845578, 0.28400924629, 1.13129923503)	(6.64890799525, 184.457517386, 61.2223570675)	(0.512940653942, 0.448390333509)	4.17	1	1461259575798463	1461259576015503	
1461259553378236.0	(-55.5533425258, 45.8612117622, 829.598285614)	(0.694333909222, 0.283092076028, 1.26532755534)	(-4.35087835547, 194.202318761, 65.1732266683)	(0.491531961161, 0.412123860214)	4.82	0	(13.0467739422, 43.1808756119, 784.80715996)	(0.50759910698, 0.283996577421, 1.11602396647)	(-1.91776674552, 175.473281124, 57.5798460948)	(0.496267483952, 0.481826270472)	4.20	0	1461259586014944	1461259586231263	
1461259553386567.0	(-48.7174926445, 42.9339780839, 775.312069584)	(0.682544559551, 0.283033199112, 1.08437357585)	(-72.0235142617, 170.502294866, 55.5644413946)	(0.359821887385, 0.500326405411)	4.60	0	(13.6536738468, 42.034751499, 763.348481669)	(0.50481188252, 0.283956469459, 1.04449503581)	(-7.40712224535, 164.870523288, 53.2811321437)	(0.485583646856, 0.521285733948)	4.13	0			
1461259553394934.0	(-49.8056758805, 46.6859653005, 844.476998176)	(0.677122557865, 0.282971803409, 1.31492329915)	(0.980954773965, 186.016024174, 61.8542280368)	(0.501909215208, 0.442590159383)	5.01	0	(17.7697799271, 45.5764492285, 829.149849914)	(0.49689572091, 0.28392213639, 1.26383280436)	(-4.82029925779, 183.971599094, 61.0253494802)	(0.490618335426, 0.450198738019)	4.49	0			
1461259553403294.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(13.6287545422, 42.0212264131, 763.171746207)	(0.504874488934, 0.283976271677, 1.0439058431)	(-4.18131308209, 168.79785504, 54.8734042725)	(0.491861983102, 0.506669687236)	4.05	0			
1461259553411566.0	(-49.8655955502, 46.8326050382, 847.435781224)	(0.676941934265, 0.283030814737, 1.32478597005)	(-6.20720476289, 206.491896338, 70.1558339673)	(0.487919025374, 0.366386690221)	4.98	0	(13.6012502013, 42.0001072594, 762.800313202)	(0.504934523021, 0.283982029178, 1.04266764323)	(-5.82593650252, 171.834965602, 56.1047508474)	(0.488661081155, 0.495366707845)	4.01	0			
1461259553419897.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(13.6127531116, 42.012714457, 763.088082562)	(0.504916251436, 0.283995992408, 1.04362691243)	(-5.55485338603, 164.566383931, 53.1578238386)	(0.489188685508, 0.522417625862)	4.07	0			
1461259553428255.0	(-51.8587157986, 43.9209076992, 794.298431904)	(0.688903536272, 0.283232090053, 1.14766153971)	(4.99729314708, 177.928903692, 58.5754379167)	(0.5097261447, 0.472687369959)	4.70	0	(13.58000627, 41.9945626615, 762.711155118)	(0.504991063563, 0.283985812583, 1.04237060547)	(-2.21862762787, 177.231869444, 58.2928368336)	(0.495681923651, 0.47528146839)	4.02	0			
