Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461181341962563.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461181343964041	1461181344180134	lighttest
1461181341970768.0	(10.1761091049, 12.1652446242, 592.614745466)	(0.506601466931, 0.413453940845, 0.475382486979)	(57.6371170126, 133.171168942, 40.4291497749)	(0.612178117969, 0.63925876836)	5.15	3	(10.1829447194, 12.1652612564, 592.614745572)	(0.506577656529, 0.41345375934, 0.475382486979)	(7.08027970423, 128.619874681, 38.5839022988)	(0.513780225193, 0.656196968066)	5.13	1	1461181354185525	1461181354404335	
1461181341979110.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461181364418639	1461181364633764	
1461181341987452.0	(-44.5900569909, 1.49316611714, 588.231738741)	(0.698341064936, 0.480947417072, 0.460772501627)	(7.51891146417, 130.772782497, 39.4567633985)	(0.514633926555, 0.648184657623)	5.64	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461181374635100	1461181374850246	
1461181341995815.0	(-44.6795184703, 1.47690776411, 588.840206539)	(0.698546795444, 0.481060307804, 0.46280069987)	(6.17872244383, 130.820490254, 39.4761057247)	(0.512025539984, 0.648007107355)	5.65	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461181342004172.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461181342012454.0	(-42.8628525436, 1.48828391355, 588.595048256)	(0.692229247524, 0.48095920258, 0.461983439127)	(9.79651491563, 133.721417067, 40.6522388361)	(0.519066786523, 0.637210952487)	5.69	0	(10.8467565343, 11.7751111687, 575.666827041)	(0.503166820652, 0.41378269203, 0.418889363607)	(7.02553608305, 126.994896175, 37.9250814636)	(0.513673678636, 0.662244524842)	5.05	0			
1461181342020770.0	(-42.6846964385, 1.41716809128, 573.69701016)	(0.694167903086, 0.48119087335, 0.412323404948)	(8.54147844787, 124.612708602, 36.9592626538)	(0.516624130883, 0.671110128017)	5.53	0	(10.8437358544, 11.7658452358, 575.675619683)	(0.503178297263, 0.41384348972, 0.418918660482)	(6.7683323489, 126.500956494, 37.7248217362)	(0.513173087483, 0.664082781933)	5.04	0			
1461181342029134.0	(-42.6911645376, 1.40453146948, 573.710535478)	(0.694188854679, 0.481272950861, 0.412368367513)	(8.81243677363, 124.494502935, 36.9113381084)	(0.517151492358, 0.671550044902)	5.52	0	(10.8351247408, 11.7599665389, 575.701142586)	(0.503210723089, 0.413884683449, 0.41900390625)	(6.92607319025, 127.421353437, 38.0979815536)	(0.513480095738, 0.660657411845)	5.03	0			
1461181342037487.0	(-42.7005752153, 1.39548412938, 573.741588366)	(0.694217161707, 0.481332092699, 0.412471923828)	(8.78165566897, 125.005702618, 37.1185956203)	(0.51709158363, 0.669647552595)	5.53	0	(10.824194762, 11.7537110284, 575.737143384)	(0.503252098567, 0.413929661522, 0.419123738607)	(6.92446813635, 126.563513407, 37.7501844086)	(0.51347697185, 0.663849968711)	5.03	0			
1461181342045845.0	(-42.7065369835, 1.39247637989, 573.772513151)	(0.694233068614, 0.481352092577, 0.412575073242)	(8.43845354929, 123.973219355, 36.6999922462)	(0.516423615316, 0.673490065668)	5.52	0	(10.8174040175, 11.7526986423, 575.756808012)	(0.503277578797, 0.413938762438, 0.419189453125)	(6.86132518925, 127.129216624, 37.9795394828)	(0.51335407783, 0.661744634819)	5.04	0			
1461181342054112.0	(-42.7057836018, 1.39159522923, 573.794647278)	(0.694226520317, 0.481358104862, 0.412648925781)	(8.63098657149, 123.934191286, 36.6841689569)	(0.516798338987, 0.673635313412)	5.53	0	(10.8156838071, 11.7540918968, 575.800213552)	(0.50328655924, 0.413935349212, 0.419334106445)	(8.52284301046, 126.774254126, 37.8356257704)	(0.516587861056, 0.663065671283)	5.03	0			
1461181342062442.0	(-42.707500443, 1.39367707225, 573.831281365)	(0.694226185266, 0.481345189776, 0.412770996094)	(8.11165024112, 125.060820441, 37.1409422363)	(0.515787563723, 0.669442424855)	5.54	0	(10.8120148959, 11.7586905242, 575.824593939)	(0.503301157416, 0.413908907978, 0.419415283203)	(8.17707596337, 125.494636288, 37.3168257432)	(0.515914900668, 0.667827925985)	5.03	0			
1461181342070799.0	(-42.7115600036, 1.40021338742, 573.85384612)	(0.694236584041, 0.481303283068, 0.412846069336)	(8.26723359, 124.310438131, 36.8367120581)	(0.516090372888, 0.67223506464)	5.53	0	(10.804648086, 11.7679721604, 575.855989174)	(0.503329300702, 0.413853273728, 0.419520060221)	(7.36346579011, 126.575082793, 37.7548750258)	(0.514331385345, 0.663806911825)	5.03	0			
1461181342079152.0	(-42.7160938021, 1.40732665912, 573.874769014)	(0.694248950077, 0.481257629275, 0.412915852864)	(7.6618625055, 124.090293249, 36.747457933)	(0.51491214968, 0.673054360813)	5.53	0	(10.7983575366, 11.7780266701, 575.890343768)	(0.503353797861, 0.413793037955, 0.419634399414)	(7.77570807042, 124.941244151, 37.0924619942)	(0.515133725322, 0.669887442682)	5.03	0			
