Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461939716342346.0	(-36.5784988229, 49.4191317842, 581.608858495)	(0.670324826564, 0.174717979258, 0.438696289062)	(32.5591933605, 129.071191158, 38.766881149)	(0.563369391515, 0.654517338452)	5.21	0	(22.5491567255, 54.2849332325, 581.574481816)	(0.461608606823, 0.143599986293, 0.438581542969)	(43.9732942356, 127.15803465, 37.9912232781)	(0.585584457446, 0.661637385)	5.54	0	1461939718343481	1461939718558897	lighttest
1461939716350573.0	(-38.3235903717, 50.6094672369, 596.19750498)	(0.674295875772, 0.174787288768, 0.487325032552)	(31.916145225, 134.933645493, 41.1437169336)	(0.562117838118, 0.632699495744)	5.34	0	(22.2087447869, 55.7272922862, 597.744238602)	(0.464636545149, 0.143725195036, 0.492480875651)	(44.7922869114, 136.710121551, 41.8639599617)	(0.58717844864, 0.626088122253)	5.70	0	1461939728562346	1461939728779452	
1461939716358920.0	(-38.2806508274, 50.5909689491, 595.890238551)	(0.674192149038, 0.174744858015, 0.48630086263)	(30.2565588451, 135.276137141, 41.2825745448)	(0.558887814023, 0.631424871077)	5.34	0	(22.2056039623, 55.7764744071, 598.246421798)	(0.464702910037, 0.143701784272, 0.494154663086)	(44.5574209867, 136.459523636, 41.762359155)	(0.586721333178, 0.627020753121)	5.69	0	1461939738781742	1461939738998224	
1461939716367261.0	(-36.5575116566, 49.4309007706, 581.627282023)	(0.670247909406, 0.174652481185, 0.438757527669)	(30.5755990577, 129.403529298, 38.9016221872)	(0.559508756438, 0.653280501311)	5.23	0	(22.5748233299, 54.2934908027, 581.606090832)	(0.461521653498, 0.143563674392, 0.438686930338)	(44.3216438232, 128.364094097, 38.4802002641)	(0.586262444187, 0.657148886873)	5.54	0	1461939748997035	1461939749212519	
1461939716375619.0	(-36.5465696814, 49.4319955344, 581.614757245)	(0.670211073417, 0.174638886858, 0.438715820312)	(32.20649591, 130.197049136, 39.2233417674)	(0.562682942604, 0.650327319925)	5.22	0	(22.587557848, 54.2941243974, 581.610699002)	(0.461477257405, 0.143562287512, 0.438702392578)	(43.952927156, 126.858829836, 37.8699156021)	(0.585544817353, 0.66275091241)	5.54	0			
1461939716383973.0	(-36.5389624252, 49.4342887518, 581.612494548)	(0.670184511279, 0.174623041269, 0.438708292643)	(31.5034157159, 128.685738252, 38.6106056016)	(0.561314549856, 0.655951848709)	5.23	0	(22.5950829457, 54.2941335374, 581.604971617)	(0.461450028942, 0.143558925491, 0.438683268229)	(42.9621446899, 127.400769966, 38.0896363233)	(0.583616474679, 0.660734015758)	5.55	0			
1461939716392249.0	(-36.5360414175, 49.4374750888, 581.617176108)	(0.670173473896, 0.174605152571, 0.438723958333)	(31.7948802154, 128.413295063, 38.5001479873)	(0.56188182214, 0.656965779445)	5.23	0	(22.5980837259, 54.2938060244, 581.607092936)	(0.461439696861, 0.143562232554, 0.438690388997)	(44.3125725193, 128.284663267, 38.4479963391)	(0.586244788866, 0.657444498447)	5.54	0			
1461939716400559.0	(-36.5328303495, 49.440591171, 581.62927588)	(0.670160352404, 0.174591613044, 0.438764241536)	(30.648916494, 128.917094712, 38.7044052771)	(0.559651452888, 0.655090827271)	5.22	0	(22.6018560775, 54.2936743607, 581.587768533)	(0.461424102504, 0.143551934333, 0.438625895182)	(43.3529223904, 128.026401134, 38.3432882008)	(0.584377038518, 0.658405652646)	5.55	0			
1461939716408932.0	(-36.5267246362, 49.4419432116, 581.613370367)	(0.670141059476, 0.174574605429, 0.43871114095)	(31.7130413308, 128.842339495, 38.6740970027)	(0.561722540543, 0.655369037977)	5.23	0	(22.6099316447, 54.296007009, 581.585547979)	(0.461395311652, 0.143535791698, 0.438618570963)	(43.5021686309, 127.599260749, 38.1701111498)	(0.584667513879, 0.65999530797)	5.54	0			
1461939716417283.0	(-36.519583369, 49.4444941467, 581.608857828)	(0.670116458544, 0.174555931622, 0.438696289062)	(30.7409252467, 129.313369934, 38.8650685547)	(0.559830527923, 0.653616040437)	5.24	0	(22.6187334727, 54.2957915692, 581.565271863)	(0.461361857768, 0.143525475027, 0.43855082194)	(43.5501892844, 128.374608179, 38.4844630257)	(0.584760975641, 0.657109757429)	5.54	0			
1461939716425566.0	(-36.5158641275, 49.4457432667, 581.591091718)	(0.670105853604, 0.174538605275, 0.43863688151)	(32.471347483, 130.016971203, 39.1503321284)	(0.563198418612, 0.650997502034)	5.23	0	(22.6231513546, 54.2929861371, 581.548051455)	(0.461344271082, 0.143533420364, 0.438493448893)	(43.4950485139, 128.372200161, 38.4834867343)	(0.584653656119, 0.657118719163)	5.55	0			
1461939716433886.0	(-36.5172702203, 49.4488450684, 581.589965379)	(0.670110918168, 0.174518209105, 0.438633219401)	(30.9466294554, 129.136728651, 38.7934522488)	(0.560230886445, 0.654273432634)	5.22	0	(22.6243796624, 54.2901329955, 581.532975171)	(0.461338193206, 0.143542907315, 0.438443196615)	(43.958705746, 128.118167195, 38.3804932422)	(0.585556064122, 0.658064133998)	5.56	0			
1461939716442242.0	(-36.514921381, 49.4469124301, 581.566449624)	(0.670106031388, 0.174518176518, 0.43855489095)	(31.1820933905, 128.124934816, 38.3832370633)	(0.560689165805, 0.658038947464)	5.22	0	(22.6265065841, 54.2874509796, 581.521690489)	(0.461329390699, 0.143553489199, 0.438405558268)	(43.924246759, 129.530117695, 38.9529453729)	(0.585488997195, 0.652809387067)	5.55	0			
1461939716450586.0	(-36.5106907181, 49.4458230755, 581.549231134)	(0.670093586509, 0.174516068112, 0.438497517903)	(29.4758127372, 129.32406272, 38.8694037689)	(0.557368261458, 0.653576245925)	5.25	0	(22.6325392463, 54.2872325364, 581.512008817)	(0.46130695943, 0.14354929833, 0.438373413086)	(43.5397443493, 128.494932252, 38.533246444)	(0.584740646846, 0.656661956637)	5.56	0			
1461939716458947.0	(-36.5078674306, 49.4468170689, 581.535619766)	(0.670085552356, 0.174502555371, 0.438452148437)	(30.5936295558, 129.836863732, 39.0773105136)	(0.559543848882, 0.651667794074)	5.24	0	(22.6361425346, 54.2872213335, 581.49638612)	(0.461292393439, 0.143540364162, 0.438321329752)	(43.8654530828, 128.067652452, 38.3600128697)	(0.585374568086, 0.658252130808)	5.56	0			
1461939716467213.0	(-36.5099697612, 49.4442957034, 581.522011767)	(0.670094966151, 0.174511501906, 0.438406778971)	(31.0520568555, 128.418793533, 38.5023772517)	(0.560436077959, 0.656945316214)	5.23	0	(22.6347913257, 54.2859678417, 581.480629929)	(0.461295313099, 0.143539269842, 0.438268839518)	(44.5444004646, 128.985800821, 38.7322610398)	(0.586695991562, 0.654835129063)	5.56	0			
