Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1461957554354883.0	(-27.5900444881, -14.0470488019, 739.022315264)	(0.625929687921, 0.561100187487, 0.963407796224)	(10.3889168033, 139.815532034, 43.1229976175)	(0.52021976801, 0.614530956329)	4.34	0	(31.2650887126, -19.0080416374, 740.364567721)	(0.452477807606, 0.585103552895, 0.967881876627)	(-5.58603659206, 151.067370485, 47.6848706389)	(0.489127994176, 0.572655859749)	4.40	0	pst	120
1461957554363105.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461957554371451.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		
1461957554379810.0	(-27.6085273133, -14.0162244431, 739.081938139)	(0.625979382476, 0.560939016618, 0.963606363932)	(3.35660412012, 151.132718105, 47.7113647577)	(0.506532900195, 0.572412660568)	4.23	0	(31.2471093843, -18.9626539754, 740.330654274)	(0.452526574058, 0.584879468483, 0.967768758138)	(-11.2665589937, 165.756478154, 53.6403279868)	(0.478072092266, 0.517988544274)	4.08	0		
1461957554388166.0	(-27.6104620243, -14.0101231839, 739.08959484)	(0.625984436925, 0.560907481743, 0.963631998698)	(3.68219443067, 142.153039193, 44.0707014874)	(0.507166590951, 0.605831636796)	4.27	0	(31.2450054745, -18.953966392, 740.314911039)	(0.452530967198, 0.584837712517, 0.967716471354)	(-10.8187801961, 165.634977819, 53.5910676725)	(0.478943596348, 0.518440722668)	4.06	0		
1461957554396440.0	(-27.6144134443, -14.0080767168, 739.07956466)	(0.625996801117, 0.560898134834, 0.963598632812)	(3.73095510095, 143.507163148, 44.6197087956)	(0.507261492995, 0.600792098443)	4.21	0	(31.241838774, -18.9474694188, 740.345093042)	(0.452543483319, 0.584801256773, 0.967816975911)	(-12.9770886017, 160.713208418, 51.5956171384)	(0.474742918253, 0.536757691037)	4.10	0		
1461957554404786.0	(-27.619385327, -14.0093405732, 738.984255408)	(0.626018491854, 0.560913540968, 0.963280843099)	(8.3592507512, 142.195900034, 44.088078711)	(0.516269464288, 0.605672124922)	4.24	0	(31.2350358265, -18.9450416833, 740.333416871)	(0.452562238805, 0.584790594486, 0.967778116862)	(-8.77209292507, 145.252889405, 45.3274848226)	(0.482927028172, 0.594295164103)	4.15	0		
1461957554413125.0	(-27.6186774685, -14.0154279712, 738.957588756)	(0.6260184539, 0.560946813173, 0.963191935221)	(7.74855198764, 140.059277997, 43.221820413)	(0.51508087191, 0.61362382584)	4.22	0	(31.2348271854, -18.9474391604, 740.335179141)	(0.452563072974, 0.584802453277, 0.967784016927)	(-13.0919820695, 164.763993781, 53.2379415053)	(0.474519303096, 0.521682196573)	4.04	0		
1461957554421465.0	(-27.6152383136, -14.0218782621, 739.001643478)	(0.62600516569, 0.560975239023, 0.963338826497)	(5.75979468941, 146.93097633, 46.0078375935)	(0.511210188185, 0.588049957835)	4.23	0	(31.2382806626, -18.9512915738, 740.321674267)	(0.452551483022, 0.584823495724, 0.967738850911)	(-12.9670818606, 147.038966902, 46.0516205964)	(0.474762394199, 0.587648057679)	4.11	0		
1461957554429837.0	(-27.6126421988, -14.0343499142, 739.0688386)	(0.625992756635, 0.5610319409, 0.963562825521)	(7.66296890918, 142.998299184, 44.4133982623)	(0.514914303054, 0.602685898088)	4.22	0	(31.2393891989, -18.959509334, 740.347118835)	(0.452551065659, 0.584861685286, 0.967823689778)	(-11.5386600071, 148.385227345, 46.597439773)	(0.477542506798, 0.58263778435)	4.11	0		
