Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1460657879703313.0	(-65.2203976646, -31.4160634701, 746.725562907)	(0.735800892653, 0.647970299527, 0.989085286458)	(-4.09007836182, 196.171661349, 65.9716642628)	(0.492039551651, 0.404794710274)	3.32	0	(1.15143467574, -34.7652515581, 743.335727293)	(0.541471689592, 0.664332062547, 0.977785847982)	(-9.39816177297, 176.306441306, 57.9176372007)	(0.481708521267, 0.478725562688)	3.56	0	1460657881704406	1460657882718763	darktest
1460657879711516.0	(-68.0610277788, -32.3173073556, 768.015087755)	(0.740057014032, 0.64812917236, 1.06005025228)	(15.0393077209, 199.246932508, 67.2184824242)	(0.529270742937, 0.393349711546)	3.43	0	(0.529094250009, -35.4133621866, 756.987124695)	(0.543485482546, 0.664469081779, 1.02329040527)	(-10.7689187844, 212.609584822, 72.6361502437)	(0.479040640746, 0.343618962331)	3.31	0	1460657892717460	1460657893733101	
1460657879719831.0	(-68.3903652967, -32.4163503831, 770.422286275)	(0.740549928677, 0.648132849925, 1.06807434082)	(7.87149739045, 192.656737311, 64.5465960652)	(0.515320158409, 0.417875931107)	3.47	0	(0.443395077452, -35.4954594531, 758.638322405)	(0.543755434173, 0.664503763989, 1.02879435221)	(-8.45241608421, 213.819112404, 73.1265333282)	(0.483549209645, 0.339117557112)	3.40	0	1460657903732082	1460657904747593	
1460657879728189.0	(-67.8103982654, -32.2435619186, 765.974025421)	(0.739719485005, 0.648176555193, 1.05324666341)	(7.6348767407, 220.820299796, 75.96504972)	(0.514859627755, 0.313061779695)	3.32	0	(0.520458824961, -35.4113918161, 756.767628641)	(0.543507682914, 0.664508954309, 1.0225587972)	(-4.05329194381, 202.777132913, 68.6497441739)	(0.492111148416, 0.380211637839)	3.42	0			
1460657879736544.0	(-65.2385916203, -31.4223014128, 746.478672853)	(0.735900463812, 0.648052964116, 0.988262329101)	(7.24139884337, 174.988805462, 57.3834233979)	(0.51409380857, 0.48362930606)	3.48	0	(1.12484263589, -34.7817768058, 743.382889359)	(0.541550753544, 0.664404730766, 0.977942911784)	(-1.88554717396, 194.803840125, 65.4171036219)	(0.496330192343, 0.409885224693)	3.42	0			
1460657879744897.0	(-65.2368691486, -31.4208305122, 746.419373582)	(0.735906494432, 0.648057834997, 0.988064575195)	(7.83119629749, 178.285712857, 58.7201003299)	(0.515241721093, 0.471359460896)	3.45	0	(1.12405459396, -34.7818569559, 743.390950311)	(0.541553190432, 0.664403300525, 0.977969767252)	(-13.4346271439, 186.051258004, 61.8685130143)	(0.473852418949, 0.442459032364)	3.48	0			
1460657879753171.0	(-65.2465297107, -31.4279997848, 746.490287117)	(0.735921631889, 0.648079264043, 0.9883009847)	(8.84479013364, 190.592241203, 63.7095800396)	(0.51721446114, 0.425559206539)	3.40	0	(1.11877670867, -34.781806204, 743.362133777)	(0.541568267124, 0.664409743775, 0.977873738607)	(-9.32015059598, 170.492140734, 55.5603245686)	(0.481860353063, 0.500364195258)	3.60	0			
1460657879761487.0	(-65.2489886244, -31.4284978294, 746.522342706)	(0.735922840575, 0.648075167762, 0.988407796224)	(3.06937178695, 192.423508901, 64.4520374384)	(0.505973864902, 0.418743919236)	3.43	0	(1.11184367725, -34.7841249263, 743.35753222)	(0.54158860088, 0.664422568402, 0.977858479818)	(-18.0661462754, 178.753480245, 58.9097489315)	(0.464838173851, 0.469618607201)	3.54	0			
1460657879769861.0	(-65.2402100172, -31.4255020486, 746.418869303)	(0.735916451339, 0.648081417707, 0.988062947591)	(4.35948976546, 193.775299188, 65.000098599)	(0.508484799076, 0.413713065917)	3.36	0	(1.11235017405, -34.7835489132, 743.412360139)	(0.541587921764, 0.664407103156, 0.978041178385)	(-11.4523091847, 179.650481423, 59.2734233207)	(0.477710569901, 0.466280307319)	3.52	0			
1460657879778211.0	(-65.2260482539, -31.4175992356, 746.39580989)	(0.735879159296, 0.648046323914, 0.987986043294)	(8.25342957628, 184.633502886, 61.2937074969)	(0.516063506376, 0.44773538189)	3.43	0	(1.1200362444, -34.7779037925, 743.365049089)	(0.541564557093, 0.664389454628, 0.977883504232)	(-9.30159592708, 170.709147862, 55.6483065431)	(0.481896465693, 0.499556576619)	3.63	0			
1460657879786493.0	(-65.2116983281, -31.4120445554, 746.283547246)	(0.735858047817, 0.648041462437, 0.987611897786)	(1.30324662744, 193.440972237, 64.8645512299)	(0.502536486235, 0.414957304664)	3.37	0	(1.12324831911, -34.7779678419, 743.420067489)	(0.541555941654, 0.664377113677, 0.978066813151)	(-4.61823531254, 186.976262792, 62.2435410068)	(0.491011608967, 0.439016513615)	3.52	0			
1460657879794819.0	(-65.220106739, -31.4098891565, 746.363654848)	(0.735867646978, 0.648014220535, 0.98787882487)	(4.07720684781, 186.134162277, 61.9021251896)	(0.507935396745, 0.442150493946)	3.41	0	(1.12477969857, -34.7678925577, 743.37171649)	(0.541550584067, 0.664337564203, 0.977905680338)	(-9.29864062599, 188.495847959, 62.8596318445)	(0.481902217544, 0.433361191073)	3.46	0			
