Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	duration
1461697509068946.0	(-23.9789191921, -10.9528266344, 665.253816973)	(0.620199526573, 0.551401494526, 0.717512817383)	(-11.8244163718, 172.167114413, 56.2394151253)	(0.476986344157, 0.494130575314)	3.42	3	(-24.0095072586, -10.971034922, 665.253809067)	(0.620297625701, 0.551503951534, 0.717512613932)	(-107.346106603, 180.062526008, 59.4404800272)	(0.291074140516, 0.464746832869)	3.46	1		
1461697509077292.0	(-24.0212610447, -10.9596637091, 665.169754374)	(0.620341176191, 0.551448019882, 0.717232462565)	(-4.86064888835, 158.165311003, 50.5626139957)	(0.490539803643, 0.546240003711)	3.32	3	(-24.0388799121, -10.9722842412, 665.169747153)	(0.620397721772, 0.551518988394, 0.717232462565)	(-102.741480852, 166.406049181, 53.9036858868)	(0.300036043496, 0.51557108604)	3.36	1		
1461697509085652.0	(-23.6380106981, -10.7625917176, 653.172429246)	(0.619985687746, 0.551418962935, 0.677241414388)	(-6.73881850217, 161.882529149, 52.0696990156)	(0.486884354803, 0.532405920547)	3.28	3	(-24.0592826583, -10.9679671173, 665.075202801)	(0.620469829325, 0.551503650949, 0.716917317708)	(-107.20906297, 175.868149244, 57.739938886)	(0.291340866154, 0.480356720341)	3.37	1		
1461697509094006.0	(-23.6432371579, -10.7522581803, 652.799372228)	(0.620030009805, 0.551394320125, 0.675997924805)	(-2.00686879942, 151.476623867, 47.8507956982)	(0.496094066175, 0.571132773103)	3.33	3	(-24.0774478788, -10.961496857, 665.037238846)	(0.620530606738, 0.551471107421, 0.716790771484)	(-102.730569225, 165.634162499, 53.5907371143)	(0.300057280606, 0.518443756983)	3.43	1		
1461697509102290.0	(-24.06183955, -10.9331152335, 664.962988235)	(0.620485676459, 0.551318532348, 0.716543375651)	(-7.52475107362, 159.757300449, 51.2080599589)	(0.485354707914, 0.540315219764)	3.37	3	(-24.0926787773, -10.9501845396, 664.962980291)	(0.620584593013, 0.551414655034, 0.7165431722)	(-103.548176633, 168.404728233, 54.7140174681)	(0.298465985533, 0.508132756856)	3.41	1		
1461697509110607.0	(-23.6431750481, -10.7213224265, 652.054303928)	(0.620084390194, 0.551286047046, 0.673514404297)	(-7.58298191875, 158.594641328, 50.7366789217)	(0.485241374234, 0.544642198259)	3.43	3	(-24.0971971718, -10.9362760353, 664.879451321)	(0.620604960709, 0.551344309935, 0.716264851888)	(-108.132226155, 172.518626325, 56.3819298544)	(0.289544129711, 0.492822380627)	3.54	1		
1461697509118968.0	(-24.0649637811, -10.9131167719, 664.774183763)	(0.620509204519, 0.551223483846, 0.715913899739)	(-8.2206657038, 153.903329098, 48.8346634608)	(0.484000261378, 0.562101492006)	3.39	3	(-24.0876294357, -10.9238238327, 664.774176313)	(0.62058189042, 0.551283847016, 0.715913899739)	(-105.240705257, 162.315241849, 52.24513527)	(0.295171846522, 0.530795527171)	3.42	1		
1461697509127323.0	(-23.6373154223, -10.7004048822, 652.599302651)	(0.620024734171, 0.551116682404, 0.675331013997)	(-5.10952344886, 150.080853349, 47.2849034754)	(0.490055423416, 0.576327304246)	3.31	3	(-24.0679381411, -10.9077064903, 664.66859889)	(0.620526386264, 0.551202690124, 0.715561930338)	(-105.421734717, 164.557039412, 53.154035257)	(0.294819512033, 0.522452402634)	3.41	1		
1461697509135679.0	(-24.012784858, -10.8678644169, 664.617455992)	(0.620353020276, 0.55098307166, 0.715391438802)	(-12.3322316869, 157.886077953, 50.4494035436)	(0.475997992046, 0.547279203749)	3.41	3	(-24.0449419345, -10.8867675257, 664.617448042)	(0.620456221947, 0.551089543268, 0.715391438802)	(-107.812567403, 166.988185885, 54.1397036484)	(0.290166275976, 0.51340459291)	3.45	1		
1461697509143954.0	(-23.559731999, -10.6308451568, 651.468046003)	(0.619855272256, 0.550821335073, 0.671560058594)	(-4.21688471087, 148.876494884, 46.7966161244)	(0.49179275066, 0.580809471963)	3.38	3	(-24.0230859538, -10.861504996, 664.585604523)	(0.620388213314, 0.55095042963, 0.715285441081)	(-105.024862286, 164.659559946, 53.1956005228)	(0.29559193794, 0.522070859897)	3.49	1		
