Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	iti_mean	iti_range	trialvec
1461697842498402.0	(60.3996391437, -1.96431754311, 651.667823073)	(0.347078382197, 0.500119096459, 0.672226155599)	(97.8413374987, 175.14186882, 57.4454804214)	(0.690426892757, 0.483059662003)	3.40	1	(60.3826029497, -1.95483569785, 651.667490346)	(0.347133512461, 0.500065323703, 0.672224934896)	(-5.1041036435, 178.537569864, 58.8222116153)	(0.490065971889, 0.470422144159)	3.44	3		1461697872829407	1461697873303267			0.0
1461697842506676.0	(60.4046614669, -1.96408366749, 651.649364016)	(0.347057628446, 0.500117984188, 0.672164510091)	(98.5924861159, 173.47823262, 56.7709864593)	(0.691888840241, 0.489251088128)	3.42	1	(59.2756427325, -1.91765403109, 639.05068165)	(0.347699831734, 0.500065421241, 0.630168863932)	(-7.90805129917, 170.48620887, 55.5579195916)	(0.484608697355, 0.500386271419)	3.39	3		1461697875694553	1461697876148245			0.0
1461697842514989.0	(60.4036027171, -1.96296956545, 651.626276939)	(0.347055496301, 0.500112013682, 0.672087605794)	(100.04651069, 177.664768145, 58.4683484993)	(0.694718782969, 0.473670382786)	3.37	1	(60.3875815223, -1.95362876966, 651.625940023)	(0.347107333857, 0.500059027211, 0.672086385091)	(-3.13545495131, 180.821400681, 59.7481532942)	(0.493897518584, 0.461922587716)	3.41	3		1461697880627711	1461697881437942			0.0
1461697842523359.0	(60.4028698414, -1.95916693638, 651.58815173)	(0.34704865514, 0.500090956801, 0.671960449219)	(98.078032463, 174.061595939, 57.0075015318)	(0.690887568048, 0.48708003)	3.39	1	(60.3854795315, -1.94899888333, 651.587856161)	(0.347104941578, 0.500033272531, 0.671959431966)	(-4.84477700556, 177.430818096, 58.3734972957)	(0.490570694812, 0.474541056584)	3.43	3		1461697884380720	1461697884917996			1.0
1461697842531712.0	(60.4067712962, -1.95263789413, 651.591039393)	(0.347036606947, 0.500053661443, 0.671970214844)	(98.294563327, 174.61940242, 57.2336550043)	(0.691308998301, 0.485004084778)	3.38	1	(60.3929826047, -1.94445552375, 651.590491325)	(0.347081159132, 0.50000724434, 0.671968383789)	(-5.04648357169, 178.199605167, 58.6851893819)	(0.490178116832, 0.471679921224)	3.41	3		1461697887238083	1461697887773065			0.0
1461697842540002.0	(60.4051553161, -1.94729920678, 651.582456851)	(0.347039727895, 0.500023402032, 0.67194152832)	(95.5716798432, 171.623627789, 56.0190674036)	(0.686009497554, 0.496153227431)	3.41	1	(60.3883935943, -1.93860263914, 651.58210187)	(0.347093975779, 0.499974092753, 0.671940307617)	(-7.26319424418, 175.448394478, 57.569756213)	(0.48586377142, 0.481918889177)	3.44	3		1461697891468608	1461697891902099			0.0
1461697842548314.0	(60.3978547982, -1.94372144539, 651.58508861)	(0.347064028533, 0.500003078752, 0.671950276693)	(97.5941947006, 171.317428955, 55.8949241174)	(0.689945883029, 0.497292783942)	3.41	1	(60.3841564715, -1.9360743572, 651.584563803)	(0.347108299246, 0.499959709121, 0.671948445638)	(-5.74979679954, 175.196907367, 57.4677948962)	(0.488809270534, 0.482854829299)	3.45	3		1461697893860631	1461697894277639			0.0
1461697842556671.0	(60.3870727582, -1.94082040901, 651.566352754)	(0.347094499539, 0.499986989568, 0.671887817383)	(98.1841559398, 178.457733743, 58.7898433718)	(0.691094114324, 0.470719264074)	3.34	1	(60.3730574246, -1.9331414243, 651.565821525)	(0.347139798775, 0.49994344143, 0.671885986328)	(-5.06046267541, 181.854035777, 60.1668182268)	(0.490150909546, 0.458079509576)	3.37	3		1461697898953779	1461697899420560			0.0
1461697842565028.0	(60.3822897733, -1.93982292283, 651.557601932)	(0.347107914607, 0.499981507807, 0.671858723958)	(97.1353755161, 172.840636611, 56.5124836336)	(0.689052891234, 0.491623979864)	3.39	1	(60.3677891121, -1.93235755729, 651.557071262)	(0.347154792952, 0.499939182825, 0.671856892904)	(-6.06080788468, 176.638816343, 58.0523931985)	(0.488203955071, 0.477488588227)	3.43	3		1461697901314026	1461697901774988			0.0
1461697842573387.0	(60.3795451113, -1.9414762194, 651.545921211)	(0.34711403533, 0.499991145867, 0.671819661458)	(98.2111958019, 173.713478801, 56.8663631582)	(0.691146741537, 0.488375590616)	3.39	1	(59.1577675859, -1.89399185236, 637.912169346)	(0.347810864776, 0.499947578666, 0.626373901367)	(-8.30130307387, 170.360076925, 55.5067814669)	(0.483843318268, 0.50085568692)	3.35	3		1461697902785004	1461697903167569			0.0
1461697842581658.0	(60.3734988606, -1.94528550199, 651.549886708)	(0.347134668154, 0.500012870912, 0.671832885742)	(100.170604469, 175.589690651, 57.6270424246)	(0.694960304532, 0.481393038144)	3.37	1	(59.1330343464, -1.89612419024, 637.704508135)	(0.347841893692, 0.499963599415, 0.625681762695)	(-6.58359448053, 171.735476463, 56.0644146104)	(0.487186464615, 0.495736968878)	3.33	3		1461697904780079	1461697905207362			1.0
1461697842589984.0	(60.3681843814, -1.94993064416, 651.55982391)	(0.347154370801, 0.500039254993, 0.671866048177)	(97.4381540697, 173.486333388, 56.7742707825)	(0.689642183865, 0.489220940128)	3.38	1	(59.2523791019, -1.90360956939, 639.099709747)	(0.34778825699, 0.499983434223, 0.630332438151)	(-8.9299890991, 170.571040985, 55.592313379)	(0.482619717596, 0.500070558298)	3.35	3		1461697907849513	1461697908276664			0.0
1461697842598343.0	(60.3607899006, -1.95697029147, 651.545073319)	(0.347174914901, 0.500079694506, 0.671816813151)	(99.0788833396, 175.973257722, 57.7825533911)	(0.692835506694, 0.479965546254)	3.35	1	(60.3449156826, -1.94642449697, 651.544770542)	(0.347226274583, 0.500019833488, 0.671815999349)	(-4.06462507774, 179.157242508, 59.073447707)	(0.492089090935, 0.468115956426)	3.38	3		1461697909941553	1461697910300730			0.0
