Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1459523390912600.0	(-50.3134808954, -34.7626501471, 641.224628937)	(0.709003174915, 0.692419024148, 0.637415364583)	(185.35782154, 368.538328441, 135.854897284)	(0.86075870288, -0.236688978194)	5.67	3	(-48.5153839863, -33.5175824314, 616.793847445)	(0.707388996306, 0.692661915187, 0.555979410807)	(33.6292948276, 245.306021243, 85.8923831568)	(0.565452111381, 0.221935164707)	5.22	1	1459523392912962	1459523393128781	lighttest
1459523390920875.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1459523403129014	1459523403344070	
1459523390929208.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1459523413351315	1459523413568359	
1459523390937490.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1459523423567408	1459523423783498	
1459523390945856.0	(-49.9347158535, -34.8136609551, 638.665075274)	(0.70821374075, 0.693498018844, 0.628883666992)	(196.330865152, 307.928079601, 111.281467777)	(0.882115346735, -0.0111205046544)	5.30	3	(-48.3350018362, -33.6926484006, 616.756438104)	(0.706788456284, 0.693726314894, 0.555854695638)	(49.0996088967, 233.362372282, 81.0500269312)	(0.595561714474, 0.266384918935)	5.02	1			
1459523390954201.0	(-48.3270829791, -33.6967715322, 616.759535303)	(0.706761164754, 0.693750026437, 0.555865071615)	(198.256312892, 266.134252593, 94.3368473296)	(0.885862812167, 0.144420347626)	5.23	3	(-48.3394556137, -33.7353131304, 616.759508546)	(0.706803776276, 0.69398287888, 0.555865071615)	(53.6508922989, 226.536194756, 78.282465414)	(0.604419798168, 0.291789375675)	5.16	1			
1459523390962560.0	(-48.3445437383, -33.7267214653, 616.739272542)	(0.706824510818, 0.693937651657, 0.555797526041)	(193.657254952, 261.992015887, 92.6574455182)	(0.876911745723, 0.159836189478)	5.26	3	(-48.3561432551, -33.7633002684, 616.739245765)	(0.706864469406, 0.694158650274, 0.555797526041)	(50.3615953262, 223.167489522, 76.916679228)	(0.598017896703, 0.304326425298)	5.19	1			
1459523390970833.0	(-48.3831655479, -33.7421842141, 616.762995147)	(0.706951240086, 0.694024181388, 0.555876668294)	(187.968289161, 262.687456857, 92.9394006327)	(0.865839410589, 0.157248020629)	5.25	3	(-48.3915419753, -33.7778806056, 616.762968348)	(0.706980270253, 0.69423977649, 0.555876464844)	(45.7025333019, 223.718447436, 77.1400560613)	(0.588950045352, 0.30227596786)	5.19	1			
1459523390979150.0	(-48.4346038467, -33.7571782183, 616.754326645)	(0.707127226593, 0.694118580449, 0.55584777832)	(185.454934938, 270.926149312, 96.279643119)	(0.860947712997, 0.126586716367)	5.31	3	(-48.4426423316, -33.7943542807, 616.75429981)	(0.707155140938, 0.694343100452, 0.55584757487)	(42.9107037161, 228.222279204, 78.9660606492)	(0.583516356006, 0.285514405643)	5.23	1			
1459523390987520.0	(-48.491957209, -33.7681456743, 616.715256211)	(0.707328699432, 0.694198600952, 0.555717569987)	(177.606673222, 268.22762691, 95.1855715503)	(0.845672777777, 0.1366295984)	5.27	3	(-48.4971143816, -33.8052416851, 616.71522933)	(0.70734685933, 0.694422588812, 0.555717366536)	(37.6582072372, 228.29520544, 78.9956273937)	(0.573293513502, 0.28524300171)	5.20	1			
1459523390995857.0	(-48.5307463504, -33.7812760106, 616.685784052)	(0.707465632573, 0.694288184928, 0.555619303385)	(172.771488945, 267.273017227, 94.7985407396)	(0.836262142749, 0.140182295396)	5.29	3	(-48.5386650982, -33.8192095319, 616.685757138)	(0.707493158343, 0.694517298805, 0.555619099935)	(34.4607419786, 227.469497854, 78.66085782)	(0.567070342504, 0.288315973747)	5.22	1			
1459523391004164.0	(-48.5908213474, -33.8049670224, 616.706656488)	(0.707665654758, 0.694425757132, 0.555688883464)	(169.158188316, 269.005296808, 95.5008650326)	(0.829229638607, 0.133735404511)	5.29	3	(-48.5929819276, -33.8374992658, 616.706629536)	(0.707673584674, 0.694622141234, 0.555688680013)	(30.94587064, 228.013691695, 78.8814922712)	(0.560229409576, 0.286290689634)	5.21	1			
1459523391012488.0	(-48.6578805129, -33.8134045355, 616.713476012)	(0.707891592287, 0.6944759546, 0.555711669922)	(162.205148448, 264.101356509, 93.5126430147)	(0.815697058093, 0.151986019692)	5.28	3	(-48.6604749819, -33.8488044211, 616.713449017)	(0.707901045013, 0.694689652379, 0.555711466471)	(26.2345098615, 225.945219446, 78.0428641846)	(0.551059770069, 0.293988762763)	5.22	1			
1459523391020832.0	(-48.724950851, -33.8379548873, 616.680676472)	(0.708125116325, 0.694636170116, 0.555602213542)	(157.887315694, 259.966681663, 91.836307035)	(0.807293335332, 0.167373719157)	5.28	3	(-48.7222389695, -33.867186363, 616.680649424)	(0.708116488849, 0.69481253535, 0.555602213542)	(22.6029242725, 222.312482223, 76.5700305671)	(0.543991678226, 0.307508439809)	5.21	1			
