Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461169165186346.0	(69.6397843478, 5.23260300673, 677.998180338)	(0.324033297618, 0.460162162368, 0.759993896484)	(63.5897181009, 241.916161147, 84.5180200793)	(0.623763561893, 0.234550944746)	2.82	1	(69.6365481431, 5.23260212319, 677.99817994)	(0.324043494857, 0.460162205765, 0.759993896484)	(2.36730728351, 202.522520966, 68.5465159436)	(0.504607448975, 0.38115920742)	2.83	3	1461169167177482	1461169168191492	darktest
1461169165194650.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461169178190693	1461169179206112	
1461169165202983.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461169189207226	1461169190222600	
1461169165211309.0	(9.33577475332, 0.937863644859, 676.453900239)	(0.514039116776, 0.4844561318, 0.754846394857)	(27.3097090987, 199.976821933, 67.5144040989)	(0.553152411636, 0.390633338545)	2.96	0	(69.6250212276, 5.2356409892, 677.205753426)	(0.323874132075, 0.46011223787, 0.757352498372)	(0.949226631328, 199.161402925, 67.1838058603)	(0.501847463276, 0.393668020376)	2.89	0			
1461169165219660.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(69.3092297232, 5.19111957313, 670.471904344)	(0.323115698736, 0.460075294954, 0.73490641276)	(-6.80634853295, 196.359444544, 66.0477978735)	(0.486752922279, 0.404095852089)	2.80	0			
1461169165227947.0	(9.90589837146, 0.974833846744, 674.259977723)	(0.512131359941, 0.484227893755, 0.747533162435)	(24.3615344525, 208.430695243, 70.9418881273)	(0.54741443062, 0.359171212344)	2.79	0	(69.33108288, 5.18917970644, 670.514720874)	(0.323057520659, 0.460087606831, 0.735049031575)	(1.85735070049, 193.709143183, 64.9732767339)	(0.503614929351, 0.413959273601)	2.78	0			
1461169165236285.0	(9.62584501709, 0.939001834049, 669.811533619)	(0.512802847694, 0.484394938655, 0.732705078125)	(20.0782769691, 205.370261222, 69.7010854391)	(0.539078001108, 0.370560992848)	2.88	0	(69.337841588, 5.1976159101, 670.484727926)	(0.323028076056, 0.460039513481, 0.73494913737)	(1.86519651558, 195.654265092, 65.7618944516)	(0.503630199524, 0.406720263892)	2.82	0			
1461169165244615.0	(9.62961883418, 0.938699177403, 669.694676404)	(0.512785165139, 0.484395662361, 0.732315673828)	(22.301090903, 220.841781323, 75.9737590523)	(0.543404225191, 0.312981833557)	2.78	0	(69.3397878991, 5.19382122308, 670.440005011)	(0.32301018306, 0.460058598324, 0.734800008138)	(3.0980830706, 194.306794748, 65.2155847407)	(0.506029745174, 0.411735040016)	2.73	0			
1461169165252977.0	(9.63551719642, 0.938406393853, 669.640611735)	(0.512763776164, 0.484396792584, 0.732135416667)	(24.25652801, 219.859601721, 75.5755504709)	(0.547210058408, 0.316637135387)	2.78	0	(69.3480278902, 5.19567824491, 670.458302804)	(0.322988784978, 0.460048994469, 0.734861043294)	(5.1333475086, 199.525294119, 67.3313395657)	(0.509990944937, 0.392313754675)	2.78	0			
1461169165261331.0	(9.64956941896, 0.938163080906, 669.626890989)	(0.512718411247, 0.484397856312, 0.732089640299)	(25.4069448496, 217.477387116, 74.6097207014)	(0.549449094686, 0.325502839165)	2.77	0	(69.3613760203, 5.19678606629, 670.434672902)	(0.322940145664, 0.460041686428, 0.734782307943)	(3.92299903404, 194.558444321, 65.3176119251)	(0.507635264761, 0.410798495271)	2.75	0			
