Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461957495303585.0	(-23.3224637978, -16.6034845804, 756.015867204)	(0.612369876924, 0.572114572651, 1.02005289714)	(-39.8043742646, 181.599487079, 60.0636156395)	(0.422529438956, 0.459026843772)	6.13	0	(36.8737185689, -19.9452356045, 740.282173902)	(0.435951540988, 0.589747621412, 0.967607218424)	(-11.4456053338, 141.662883273, 43.8719758234)	(0.47772361749, 0.607655812159)	6.09	0	1461957497304038	1461957497520023	lighttest
1461957495311810.0	(-23.1536588344, -16.5494759653, 753.624677046)	(0.612017893162, 0.572099101664, 1.01208231608)	(-49.4584461968, 165.543220164, 53.553866039)	(0.403739886733, 0.518782210033)	6.31	0	(36.8499554904, -19.9642628788, 740.282175771)	(0.436021795107, 0.58984382011, 0.967607218424)	(-7.3257198576, 139.070537005, 42.820951624)	(0.485742078907, 0.617303546687)	6.02	0	1461957507520102	1461957507734648	
1461957495320149.0	(-23.2013382819, -16.5562478079, 754.134960329)	(0.612126941641, 0.572079023136, 1.01378316243)	(-55.4096053803, 167.352356403, 54.2873506011)	(0.392157249162, 0.512049287671)	6.25	0	(36.8287258219, -19.9503616953, 740.282174562)	(0.436084195217, 0.589774138436, 0.967607218424)	(-8.10395532042, 145.252213141, 45.3272106424)	(0.484227412767, 0.594297680903)	6.01	0	1461957517741297	1461957517958612	
1461957495328510.0	(-23.2108803065, -16.5454067772, 754.099746695)	(0.612156544969, 0.572029180932, 1.01366577148)	(-52.8416720237, 165.150307712, 53.3945661413)	(0.397155173173, 0.520244481905)	6.29	0	(36.8394660035, -19.9233902076, 740.285581884)	(0.436052653445, 0.589637683441, 0.967618611654)	(-4.15064088094, 138.228054656, 42.4793809982)	(0.491921679873, 0.620438948061)	6.02	0	1461957527958581	1461957528174954	
1461957495336870.0	(-23.2740297813, -16.5509477733, 754.717850315)	(0.612304091812, 0.571991831846, 1.01572611491)	(-53.772050527, 167.10234497, 54.1859875736)	(0.39534439368, 0.512979735876)	6.33	0	(36.8238688371, -19.9167576472, 740.296549269)	(0.436099914365, 0.589603079553, 0.967655232747)	(-6.68203871506, 140.410890453, 43.3643759059)	(0.486994864315, 0.612315256968)	6.10	0			
1461957495345147.0	(-23.1430383737, -16.5075702335, 752.804788552)	(0.612033928298, 0.571978362823, 1.00934936523)	(-55.8512291221, 166.514293927, 53.9475719406)	(0.391297724558, 0.515168239943)	6.27	0	(36.8112921274, -19.9089856548, 740.313755546)	(0.436139041218, 0.589561871103, 0.967712605794)	(-13.8186093181, 136.978120222, 41.9726156194)	(0.473105081125, 0.625090732335)	6.09	0			
1461957495353469.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(36.7983308465, -19.9012551577, 740.24965345)	(0.436169118316, 0.589531563656, 0.967498779297)	(-5.36851836596, 142.991107468, 44.4104824992)	(0.489551346115, 0.602712662941)	5.99	0			
1461957495361822.0	(-22.2920533005, -16.2245760716, 741.252291064)	(0.610202705611, 0.571788635629, 0.970841064453)	(-52.0508419425, 160.238132588, 51.4030054491)	(0.398694352, 0.538525743996)	6.26	0	(36.7822931011, -19.8973323624, 740.244366712)	(0.43621567514, 0.589512749977, 0.967481282552)	(-13.3193609366, 141.397557726, 43.7644039398)	(0.474076759563, 0.608643253719)	6.00	0			
1461957495370182.0	(-22.3088595729, -16.2241538713, 741.197833381)	(0.610255269, 0.571792635244, 0.970659383138)	(-51.2445991771, 165.342294979, 53.472404224)	(0.400263528265, 0.519529977749)	6.24	0	(36.7603627669, -19.8959579348, 740.214148946)	(0.436276509169, 0.589510138768, 0.967380574544)	(-5.6863489793, 143.869840609, 44.7667504129)	(0.488932757923, 0.599442349799)	5.97	0			
1461957495378544.0	(-22.3253654625, -16.2650021746, 741.193809824)	(0.610304690662, 0.57199921231, 0.970645955404)	(-48.7277358096, 164.831982692, 53.2655064922)	(0.405162055645, 0.521429167503)	6.24	0	(36.7405919923, -19.8983601165, 740.218084127)	(0.43633529828, 0.5895220286, 0.967393595377)	(-9.1662781011, 145.89804662, 45.5890532148)	(0.482159832423, 0.591894132414)	6.02	0			
1461957495386795.0	(-23.5292344692, -16.5997277597, 756.649859941)	(0.6129320368, 0.572031745791, 1.0221661377)	(-50.8296461313, 168.093517378, 54.5878421405)	(0.401071144159, 0.509290966215)	6.38	0	(36.7165601202, -19.90326532, 740.155371169)	(0.436398343456, 0.589555353057, 0.967184651693)	(-4.07282578493, 147.053866453, 46.0576613746)	(0.492073130041, 0.587592607173)	6.02	0			
1461957495395141.0	(-23.5516550297, -16.6183641522, 756.684779264)	(0.612995212188, 0.572120435184, 1.02228251139)	(-52.8341317994, 169.921809079, 55.3290929702)	(0.39716984858, 0.50248675445)	6.35	0	(36.7004606579, -19.9069713323, 740.112195559)	(0.436440443015, 0.589579949176, 0.967040608724)	(-9.84342911611, 141.413656091, 43.7709307576)	(0.480841905185, 0.608583341678)	6.02	0			
1461957495403498.0	(-23.3884648577, -16.5845211676, 754.451356721)	(0.612652375539, 0.572188183997, 1.01483784993)	(-52.548226307, 172.149109395, 56.2321152864)	(0.397726301466, 0.494197583198)	6.30	0	(36.6811872061, -19.9201252141, 740.111795898)	(0.436497357081, 0.589646565174, 0.967039388021)	(-6.22935381685, 141.024335594, 43.6130871588)	(0.487875917055, 0.61003224565)	6.06	0			
1461957495411853.0	(-23.6169636626, -16.6620552198, 757.190045673)	(0.613155282326, 0.572283475023, 1.02396687826)	(-55.5104635926, 169.816080659, 55.2862271195)	(0.391960950579, 0.502880235731)	6.33	0	(36.6609770012, -19.9338299365, 740.101745099)	(0.436555833851, 0.589717241729, 0.967005818685)	(-7.89791444287, 143.384014242, 44.5697800952)	(0.484628426542, 0.601250412197)	6.02	0			
