Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461697387045035.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461697389051584	1461697390067217	darktest
1461697387053298.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461697400064845	1461697401081673	
1461697387061580.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461697411081236	1461697412091950	
1461697387069902.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461697387078261.0	(18.3771715593, -4.06011466851, 716.659164187)	(0.488597156906, 0.510631174443, 0.888863932292)	(187.660847188, 255.550083832, 90.0456700138)	(0.865241041627, 0.183810629578)	2.98	3	(18.3974802042, -4.06011874582, 716.659164988)	(0.48853580765, 0.510630927455, 0.888863932292)	(62.9958006446, 248.097403853, 87.0241033709)	(0.622607630682, 0.211546692024)	3.01	1			
1461697387086613.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461697387094897.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461697387103215.0	(18.3003353489, -4.1171961116, 719.365900717)	(0.489024052586, 0.510851410027, 0.897886352539)	(186.060842845, 245.981120516, 86.1660910643)	(0.862126981013, 0.219422699979)	2.82	3	(18.3126726694, -4.11720186701, 719.365900802)	(0.488986891311, 0.510851277314, 0.897886352539)	(62.3430336153, 240.057937032, 83.7646336444)	(0.621337161571, 0.241466553658)	2.85	1			
1461697387111559.0	(18.6144251055, -4.00497464853, 707.145361795)	(0.487178871251, 0.510611197627, 0.857151285807)	(177.011764236, 234.628118224, 81.5632028259)	(0.844514916768, 0.261674290197)	2.79	3	(18.597241619, -4.05559297633, 707.145356943)	(0.487231976874, 0.510878160187, 0.857151285807)	(57.3961902316, 236.076067537, 82.1502500838)	(0.611709206368, 0.25628556927)	2.82	1			
1461697387119925.0	(-39.9087096866, -23.2819162461, 707.353360621)	(0.666077212102, 0.613147406185, 0.857844441732)	(82.9764703551, 260.916020309, 92.2212007905)	(0.661495660481, 0.163840638971)	2.86	0	(18.5947480498, -4.05416926814, 707.124503686)	(0.487238017873, 0.510871298204, 0.857081705729)	(55.0231804676, 232.786075557, 80.8163768931)	(0.607090658754, 0.268529677867)	2.77	0			
1461697387128284.0	(-39.9065166034, -23.23707353, 705.983767693)	(0.666233580694, 0.613143402164, 0.853279215495)	(78.3693564494, 260.208296798, 91.9342659216)	(0.652528914849, 0.166474518803)	2.87	0	(18.5920827263, -4.05073674671, 707.161303424)	(0.487248843871, 0.510852175429, 0.857204386393)	(59.6792385929, 234.613706641, 81.5573598862)	(0.616152663668, 0.261727924672)	2.81	0			
1461697387136558.0	(-39.9027456676, -23.2419781068, 706.186775376)	(0.666197827378, 0.613134715267, 0.853955891927)	(84.8499339145, 256.664372707, 90.4974401293)	(0.665141950009, 0.179663666887)	2.84	0	(19.7642191526, -4.04710765761, 722.838919097)	(0.484877429941, 0.510371854017, 0.909463094075)	(55.7869163146, 230.501002328, 79.8899314985)	(0.608577104544, 0.2770338581)	2.84	0			
1461697387144940.0	(-39.8918674905, -23.24415617, 706.001079267)	(0.66618684327, 0.61317766356, 0.853336995443)	(81.1570031231, 256.978227289, 90.6246873125)	(0.657954463066, 0.178495618574)	2.84	0	(18.6028220441, -4.04874947335, 707.124189832)	(0.48721328132, 0.510842639124, 0.857080688476)	(56.6720830277, 232.078461429, 80.5294863718)	(0.610299889116, 0.271163150617)	2.74	0			
1461697387153246.0	(-39.8893603618, -23.2382681718, 705.733343275)	(0.66621114289, 0.613192083461, 0.852444458008)	(79.5415088312, 258.592369525, 91.2791147601)	(0.654810254634, 0.172488390305)	2.80	0	(18.6096092387, -4.05051257149, 707.143297035)	(0.487194011291, 0.510851283807, 0.85714436849)	(54.6230922418, 231.527221028, 80.3059950084)	(0.606311974001, 0.273214659368)	2.75	0			
1461697387161601.0	(-39.9269618435, -23.5023441596, 713.246198526)	(0.665436856641, 0.61330853257, 0.877487386068)	(77.863316074, 265.069657359, 93.9052246844)	(0.651544017271, 0.148382369337)	2.88	0	(18.6122032223, -4.05399739113, 707.110324321)	(0.487183686142, 0.510870572163, 0.857034505208)	(56.7084159514, 234.924377525, 81.6833162915)	(0.610370603253, 0.26057172488)	2.74	0			
