Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1460667387371196.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1460667389363143	1460667390378121	darktest
1460667387379484.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1460667400377412	1460667401392070	
1460667387387810.0	(27.587825703, -30.6753437944, 796.28249976)	(0.468564449584, 0.633360203629, 1.15427490234)	(-6.08388877052, 184.102058913, 61.0782422703)	(0.488159033144, 0.449713215804)	3.11	3	(27.5876720085, -30.6754007982, 796.282499831)	(0.468564878196, 0.633360473557, 1.15427490234)	(-152.175824927, 172.744710494, 56.473591966)	(0.203822839769, 0.491980980668)	3.11	1	1460667411392345	1460667412406794	
1460667387396136.0	(27.7379615951, -30.8228756901, 798.029061424)	(0.468299320615, 0.633741596884, 1.16009684245)	(-11.9762910167, 207.696687994, 70.6442969487)	(0.476690753179, 0.36190291033)	2.99	3	(27.7412751891, -30.8229326698, 798.029061506)	(0.468290110897, 0.633741810345, 1.16009684245)	(-158.716147922, 196.826508602, 66.2371613214)	(0.191093522923, 0.402357615923)	2.98	1			
1460667387404495.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387412867.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387421157.0	(-0.596981099925, -16.5192177208, 413.690102645)	(0.541379579178, 0.63595418815, -0.121033020019)	(14.3655545213, 49.4950233723, 6.50403143349)	(0.527959428807, 0.95066980509)	1.52	1	(29.8650953232, -31.3596521527, 804.474978557)	(0.462983805717, 0.63507412041, 1.18158325195)	(-107.424882148, 221.287041675, 76.1542825459)	(0.290920821043, 0.311324742556)	2.96	3			
1460667387429449.0	(1.232576271, -16.511677793, 413.690148172)	(0.533189996311, 0.6358398032, -0.121032816569)	(-122.01075961, 60.2866242274, 10.8793086838)	(0.262532581529, 0.910507539161)	1.44	0	(29.533674026, -30.5342069122, 779.23254076)	(0.461555300618, 0.63571875639, 1.09744181315)	(-72.1031629911, 217.475289734, 74.6088703522)	(0.359666868449, 0.32551064483)	2.81	0			
1460667387437821.0	(-29.1813731406, -32.8329781222, 847.120688071)	(0.62327347948, 0.635335989145, 1.32373555501)	(-62.3743706391, 225.542814721, 77.879715801)	(0.378601847724, 0.295486361291)	3.13	0	(30.1089626577, -30.6112620278, 777.726285314)	(0.459781409168, 0.636355117466, 1.09242085775)	(-40.4907480473, 195.47200895, 65.6880016935)	(0.421193561605, 0.407398552474)	2.85	0			
1460667387446174.0	(-28.9664020906, -30.5642726696, 789.547752089)	(0.62650027442, 0.634950330831, 1.13182576497)	(-79.8756009574, 225.930794167, 78.0370156923)	(0.344539507673, 0.294042448208)	2.75	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387454469.0	(-28.0873576226, -31.24785808, 811.440378322)	(0.622592450234, 0.634261506885, 1.20480122884)	(16.2692377506, 244.430519616, 85.5374254074)	(0.531664534353, 0.225193451373)	2.80	0	(32.3525239474, -31.5226493294, 792.443143823)	(0.454924339955, 0.637956271831, 1.14147705078)	(-51.0780966357, 219.639856656, 75.4864584449)	(0.400587589265, 0.317454943593)	2.94	0			
1460667387462776.0	(-27.6274765069, -29.9165825683, 777.029878929)	(0.623581509542, 0.634094327503, 1.09009969076)	(43.5026318121, 224.092116028, 77.2915538522)	(0.58466841536, 0.300885314373)	2.71	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387471139.0	(-27.0854058766, -29.8095004358, 777.029880989)	(0.622041398211, 0.633569895489, 1.09009969076)	(57.8677022038, 221.27115892, 76.1478431438)	(0.612626901915, 0.311383852177)	2.72	0	(32.5545537305, -31.9575005891, 792.443147194)	(0.454364646328, 0.640002646929, 1.14147725423)	(57.0989788126, 202.401338988, 68.4973847019)	(0.611130748954, 0.381610201011)	2.87	0			
1460667387479491.0	(-25.5559745543, -29.7380783983, 777.029884005)	(0.617699355845, 0.633200920556, 1.09009969076)	(-76.1587103505, 233.259678496, 81.0083914229)	(0.351773627189, 0.266767106454)	2.69	0	(32.9747806455, -33.9721078219, 838.26245684)	(0.457677665132, 0.640955785825, 1.29420817057)	(81.551226856, 208.94371018, 71.1498816039)	(0.658721733857, 0.357261964348)	3.11	0			
1460667387487848.0	(-25.7974350961, -30.0470655001, 785.989241433)	(0.617829758993, 0.633078546493, 1.11996419271)	(-0.363484477527, 235.696347228, 81.9962987235)	(0.499292556486, 0.257698744965)	2.86	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387496134.0	(-24.6536604624, -32.0261004338, 841.609443057)	(0.611547691616, 0.632606023009, 1.30536478678)	(72.4853118458, 260.783168571, 92.1673382365)	(0.641076901218, 0.164335063002)	2.97	0	(35.4247331089, -29.8530396928, 724.15621725)	(0.438356105869, 0.642924896168, 0.913853963216)	(-115.061935893, 178.244310942, 58.7033146037)	(0.276056956221, 0.471513543201)	2.62	0			
1460667387504464.0	(-24.6053738409, -30.5543855877, 802.935055286)	(0.613508332408, 0.632468567001, 1.17645019531)	(74.9257397502, 223.906019329, 77.2161040032)	(0.645826663585, 0.30157789606)	2.91	0	(36.0235130691, -25.01078368, 599.769292076)	(0.418289743148, 0.643776088494, 0.499230957031)	(-110.519832598, 120.554381093, 35.3138804476)	(0.284897172834, 0.686213691504)	2.18	0			
1460667387512789.0	(-24.4450728456, -29.6147858228, 776.988008518)	(0.614546981176, 0.632596685578, 1.0899601237)	(75.6947282622, 239.939128388, 83.7164646321)	(0.647323332546, 0.241908714595)	2.70	0	(35.5363084392, -32.594616567, 784.16662654)	(0.445128261137, 0.644534925708, 1.11388875326)	(69.7031017508, 186.728270087, 62.1429964395)	(0.63566193412, 0.439939448875)	2.93	0			
1460667387521146.0	(-24.3264175826, -28.562741581, 750.198772253)	(0.61581333977, 0.632330505047, 1.00066263835)	(60.1284873818, 216.200814175, 74.0921551776)	(0.617027028769, 0.330253761909)	2.94	0	(35.6647204742, -32.6645490967, 780.083848224)	(0.444311465987, 0.645658098201, 1.10027954102)	(64.4797439861, 199.038355498, 67.1339183026)	(0.625495803788, 0.394125956466)	2.81	0			
1460667387529517.0	(-21.9557063239, -28.8183247556, 755.57160955)	(0.608607927019, 0.632565772465, 1.01857198079)	(71.4034605221, 211.56512374, 72.2126906597)	(0.638971312811, 0.347506052325)	2.71	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387537764.0	(-23.1309800361, -29.568289549, 776.459758013)	(0.610845617038, 0.63244602288, 1.08819925944)	(71.9085037389, 220.959280638, 76.021397219)	(0.639954269636, 0.312544545447)	2.81	0	(36.5275777894, -32.9902225055, 780.657386128)	(0.441939134126, 0.647089328863, 1.10219136556)	(65.6326923888, 200.55559645, 67.749058717)	(0.627739767203, 0.388479358206)	2.97	0			
1460667387546120.0	(-22.7914790067, -29.5767681568, 776.335600608)	(0.609888334152, 0.632503577559, 1.08778523763)	(74.8683332803, 217.084784989, 74.4505466196)	(0.645714934372, 0.326963956126)	2.76	0	(36.8230139433, -33.1112641235, 780.583986088)	(0.441096513146, 0.647677711891, 1.10194661458)	(57.5204277241, 187.640046633, 62.5126612588)	(0.611951007637, 0.43654616065)	2.96	0			
1460667387554477.0	(-22.5018255226, -29.5787334509, 776.327666441)	(0.609066084062, 0.632509712858, 1.08775878906)	(84.4924948426, 217.181370251, 74.4897055273)	(0.664446272562, 0.326604502228)	2.77	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387562830.0	(-22.2418926691, -29.5778292986, 775.973114663)	(0.60834653809, 0.63256477499, 1.08657714844)	(73.9993522683, 231.557711406, 80.3183568311)	(0.644023651748, 0.273101185688)	2.74	0	(37.3723099563, -33.2503685056, 780.478976871)	(0.439532212612, 0.64835458144, 1.10159667969)	(67.4640069641, 200.095304273, 67.5624408168)	(0.631304022896, 0.390192391988)	2.85	0			
1460667387571114.0	(-22.0420327991, -29.5838920752, 775.990554564)	(0.60777784056, 0.63258757721, 1.08663513184)	(79.6417780562, 233.251401299, 81.0050355696)	(0.655005406882, 0.266797911056)	2.73	0	(37.571655467, -33.3143829206, 780.712213974)	(0.438996429445, 0.648611087393, 1.10237406413)	(60.3311499382, 186.899158363, 62.2122802831)	(0.617421467377, 0.439303467201)	2.89	0			
1460667387579432.0	(-21.8952797454, -29.5934348812, 776.012609219)	(0.607359861704, 0.632627193113, 1.08670878092)	(70.6682371679, 230.502167968, 79.890404088)	(0.637540360389, 0.277029520029)	2.79	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387587781.0	(-20.5093292905, -28.9792634339, 758.1047729)	(0.604287976442, 0.63286938437, 1.02701599121)	(79.2086124169, 228.767323757, 79.187040008)	(0.654162344136, 0.283485955499)	2.43	0	(37.8122281864, -33.3469026462, 780.500409013)	(0.438291451211, 0.648804650637, 1.10166809082)	(63.0340301855, 195.557020745, 65.722468329)	(0.622682036173, 0.407082170654)	2.90	0			
1460667387596148.0	(-21.7268139842, -29.6138928348, 775.803093468)	(0.606892283194, 0.632760721547, 1.08601033529)	(80.8988199046, 223.565741587, 77.0781439841)	(0.65745196556, 0.302844281402)	2.75	0	(37.9373504837, -33.3790712056, 781.359727127)	(0.43803957163, 0.648785522116, 1.1045324707)	(60.2318134926, 199.72671573, 67.4130026483)	(0.617228130581, 0.39156413945)	2.93	0			
1460667387604502.0	(-21.4724628414, -30.0118449643, 786.449799636)	(0.605640482367, 0.632758636578, 1.12149943034)	(-6.20065970534, 233.893129321, 81.265213652)	(0.487931763905, 0.264409641528)	2.62	0	(38.5610287405, -26.4154435386, 615.021793502)	(0.412228219953, 0.648490921706, 0.550072631836)	(-117.354661247, 122.70622304, 36.1863094082)	(0.271594664759, 0.678205347823)	2.22	0			
1460667387612752.0	(-21.2281034618, -30.6401361811, 803.807376942)	(0.604126120315, 0.632662544781, 1.17935791016)	(67.1723463355, 234.610304801, 81.5559806661)	(0.63073636889, 0.261740585037)	2.89	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387621091.0	(-21.5528886477, -30.0455738946, 786.560142059)	(0.605861576058, 0.632900772444, 1.12186706543)	(-6.51963383787, 238.925055424, 83.3053254107)	(0.487310950101, 0.245682711486)	2.80	0	(38.8979613641, -33.2084827847, 780.693003987)	(0.435242091795, 0.648086175391, 1.10230997721)	(-86.0436962651, 213.664090781, 73.0636823585)	(0.332534651099, 0.33969448909)	2.92	0			
1460667387629455.0	(-21.6616613094, -30.0275502927, 785.781778975)	(0.606206224474, 0.632955232802, 1.11927266439)	(4.50091658433, 226.250396778, 78.1665933199)	(0.508760055633, 0.292853007895)	2.81	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387637816.0	(-21.7583332027, -30.024868596, 785.578200934)	(0.606488468351, 0.632980283251, 1.11859395345)	(2.51477971777, 240.173384927, 83.8114400965)	(0.504894472008, 0.24103690016)	2.80	0	(37.8222658436, -34.2938327276, 810.193483196)	(0.441678783222, 0.647477650491, 1.20064493815)	(78.4436765118, 218.959715988, 75.2107065862)	(0.652673562693, 0.319986170496)	2.99	0			
1460667387646171.0	(-21.8786423368, -29.9883142161, 785.578202604)	(0.60682651871, 0.63280816682, 1.11859395345)	(65.3000789703, 203.650777574, 69.0039490471)	(0.627092407494, 0.376960262098)	2.82	0	(24.5600677864, -26.5057848729, 624.498343908)	(0.460803849204, 0.646968832977, 0.581661173502)	(-125.034987901, 120.251384659, 35.1910355218)	(0.256646578629, 0.68734132989)	2.27	0			
1460667387654444.0	(-21.7544529662, -30.519375762, 799.649971072)	(0.605782782246, 0.632831822244, 1.16549987793)	(69.7906703686, 244.083302945, 85.3966521133)	(0.635832367397, 0.226485660792)	2.72	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387662772.0	(-22.3060369016, -29.6783486569, 776.393570011)	(0.608507891194, 0.632974532334, 1.08797851562)	(56.4777146681, 204.648345531, 69.4083965842)	(0.609921593359, 0.373247690617)	2.92	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387671128.0	(-22.2287617262, -30.0192713869, 785.852312259)	(0.607798001145, 0.632912500553, 1.11950764974)	(-11.3539099316, 233.5900436, 81.1423325262)	(0.477902082655, 0.265537612206)	2.76	0	(37.3965968905, -35.3051496082, 842.815280968)	(0.446343390972, 0.646003570366, 1.30938435872)	(86.1021404939, 237.883895094, 82.8832040623)	(0.667579097886, 0.249557517328)	2.98	0			
1460667387679482.0	(-22.1222356619, -30.5956763516, 802.544240474)	(0.606659649738, 0.632689314993, 1.17514750163)	(66.4520202005, 247.750478201, 86.8834480656)	(0.629334410666, 0.21283781838)	2.80	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1460667387687771.0	(-22.4886077292, -30.0052970788, 786.315110591)	(0.608504508237, 0.632767941136, 1.12105041504)	(-8.42150951243, 235.967493821, 82.1062306546)	(0.483609362568, 0.256689639667)	2.70	0	(37.8971256332, -28.1216674506, 670.509700065)	(0.423356884008, 0.645191626326, 0.735032348633)	(-111.459431797, 144.90732195, 45.1873801758)	(0.283068447262, 0.595581235764)	2.50	0			
1460667387696102.0	(-23.0627267468, -29.7482978879, 778.947235971)	(0.610517283672, 0.63286430288, 1.09649088542)	(73.7354209308, 225.190277942, 77.7367855562)	(0.643509966778, 0.296798370147)	2.69	0	(36.9411978188, -32.4886742591, 779.016522937)	(0.440573698698, 0.645002334803, 1.09672180176)	(50.0099806626, 207.458132334, 70.5475784759)	(0.597333555201, 0.362790724473)	2.92	0			
1460667387704443.0	(-22.9339377276, -29.603948083, 776.274751446)	(0.610296684438, 0.63264779755, 1.08758260091)	(71.1880093435, 228.958175289, 79.2644176254)	(0.63855198393, 0.282775678122)	2.66	0	(35.2432852238, -31.6763997451, 761.97079798)	(0.443447028661, 0.644441508656, 1.03990275065)	(53.3986768022, 195.553770223, 65.7211504583)	(0.603928915536, 0.40709426787)	2.81	0			
