Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	ontime	offtime	task
1461876120962273.0	(-59.7248024166, 17.3218489223, 673.70050087)	(0.732290711242, 0.394564278639, 0.745668334961)	(190.637723867, 204.300031558, 69.2671784068)	(0.871034884911, 0.374543983782)	4.75	0	(-1.07363809733, 19.031223359, 695.715438618)	(0.546829247524, 0.387794332314, 0.819051513672)	(244.036591122, 245.064261724, 85.7943657319)	(0.974964171121, 0.222834902406)	4.85	0	1461876122969544	1461876123186400	lighttest
1461876120970476.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461876133185171	1461876133401789	
1461876120978821.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	1461876143402377	1461876143618940	
1461876120987179.0	(-59.6339350745, 17.3226183905, 673.106550307)	(0.732120700839, 0.394477098636, 0.743688557943)	(172.45526857, 265.420089255, 94.0473015388)	(0.835646688536, 0.147078194062)	4.08	0	(-0.928340642557, 18.9698005838, 692.946275632)	(0.546352395807, 0.3877264749, 0.809820963542)	(246.538902714, 242.006925736, 84.5548190908)	(0.979834376634, 0.234213153196)	4.87	0	1461876153623850	1461876153840610	
1461876120995538.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-0.947541922538, 18.9791665602, 693.344299897)	(0.546415894641, 0.387733356486, 0.811147664388)	(251.139092533, 241.838960262, 84.4867202492)	(0.988787646036, 0.234838257305)	4.84	0			
1461876121003895.0	(-59.6916486241, 17.3370854979, 673.602810014)	(0.732204848033, 0.394466056899, 0.745342610677)	(183.202242829, 231.925421623, 80.4674388969)	(0.856563337542, 0.271732707023)	4.51	0	(-0.895005331622, 18.9576682097, 692.417898497)	(0.546243687772, 0.387715635999, 0.808059692383)	(250.403534943, 241.214982202, 84.2337385973)	(0.987356043097, 0.237160468172)	4.85	0			
1461876121012169.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.22426761267, 19.1386015817, 699.235330239)	(0.547325990139, 0.387723298864, 0.830784505208)	(246.84202887, 245.737297258, 86.0672369308)	(0.980424345797, 0.220330118131)	4.91	0			
1461876121020481.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-0.896979270955, 18.9647303554, 692.520198229)	(0.546250789355, 0.387692330372, 0.808400675456)	(249.660532681, 241.295905692, 84.2665476967)	(0.985909950723, 0.23685930148)	4.91	0			
1461876121028853.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-0.891219484794, 18.9642154592, 692.385108384)	(0.546231509133, 0.387675653267, 0.807950439453)	(250.057694898, 239.884279893, 83.694227211)	(0.986682940634, 0.242112839994)	4.87	0			
1461876121037206.0	(-59.7753897314, 17.3639375634, 674.24991173)	(0.732341130611, 0.394407550291, 0.747499796549)	(181.18525054, 275.012299709, 97.9363056581)	(0.852637700544, 0.11137960659)	4.02	0	(0.842308435855, 18.0661062469, 658.859485483)	(0.540295035429, 0.387680018266, 0.696198323568)	(215.559384294, 260.145376712, 91.9087560069)	(0.919539478968, 0.166708683616)	4.22	0			
1461876121045466.0	(-59.7265794108, 17.3599274042, 673.934214912)	(0.732249326263, 0.394385664085, 0.746447347005)	(176.962085209, 277.015291603, 98.7483858104)	(0.844418227343, 0.103925226635)	3.96	0	(0.851310474608, 18.070399909, 658.859727829)	(0.540265997318, 0.387655716095, 0.69619913737)	(216.247330691, 261.362100516, 92.4020566811)	(0.920878417071, 0.162180496777)	4.12	0			
1461876121053818.0	(-59.7588448547, 17.3683302713, 674.171317872)	(0.73230428496, 0.394372216405, 0.747237752279)	(181.971590146, 249.012835417, 87.3952500572)	(0.854168139638, 0.208139801201)	4.36	0	(0.852880813046, 18.0739370318, 658.854230527)	(0.540260791824, 0.387634892775, 0.696180826823)	(210.733267542, 255.414533934, 89.9907135348)	(0.910146491908, 0.184315095146)	4.29	0			
1461876121062167.0	(-59.7116426147, 17.3624165389, 673.784455358)	(0.732231685178, 0.394351029203, 0.745948282877)	(196.189251239, 196.136314737, 65.9573335594)	(0.881839726039, 0.404926257028)	4.83	0	(-0.582653047811, 18.8290878767, 687.19678619)	(0.545215941683, 0.387654971219, 0.790655924479)	(226.379195635, 230.818900473, 80.0188180781)	(0.940597889519, 0.275850761171)	4.88	0			
1461876121070523.0	(-59.8425683025, 17.388532757, 674.698221071)	(0.732464295805, 0.394334021663, 0.748994140625)	(191.632747681, 224.341685189, 77.3927375677)	(0.872971482446, 0.299956512137)	4.73	0	(-0.576627323417, 18.8260354471, 687.015925248)	(0.545195059168, 0.387645296353, 0.790053100586)	(224.180884953, 245.329764901, 85.9020096328)	(0.936319355688, 0.221846799772)	4.75	0			
1461876121078875.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-0.369130919458, 18.7066542741, 682.657993451)	(0.544494753355, 0.387660202568, 0.775526733398)	(229.833347014, 220.195975894, 75.7119278521)	(0.947320644247, 0.315385277656)	4.92	0			
1461876121087154.0	(-59.6587101458, 17.3596966386, 673.435507317)	(0.73213330693, 0.394317310666, 0.744784952799)	(207.261006549, 268.392320997, 95.2523440619)	(0.903388490752, 0.136016669158)	4.10	0	(-0.368001835694, 18.7122049414, 682.774362172)	(0.544492607843, 0.387646847924, 0.775914510091)	(232.053995091, 224.002147942, 77.2550777698)	(0.95164265296, 0.301220141639)	4.88	0			
1461876121095476.0	(-59.6544122533, 17.3587505289, 673.404111854)	(0.732125935466, 0.394318166979, 0.744680379232)	(191.982053323, 270.77420895, 96.2180413957)	(0.873651329939, 0.127152181056)	4.06	0	(-0.2370163402, 18.631750522, 679.967585099)	(0.544046408945, 0.387676051969, 0.76655863444)	(233.812394853, 221.524043531, 76.250371054)	(0.955064995822, 0.310442711088)	4.86	0			
1461876121103834.0	(-59.7027465956, 17.3638983667, 673.716683521)	(0.732216930473, 0.394333361353, 0.745722249349)	(183.581124434, 270.113812599, 95.9502945461)	(0.857300748218, 0.12960992706)	4.11	0	(-0.271065125959, 18.6523650846, 680.606399441)	(0.544161483036, 0.387656817114, 0.768687947591)	(233.399734339, 217.800938609, 74.7408993377)	(0.954261841842, 0.32429870261)	4.89	0			
1461876121112189.0	(-58.6156240365, 17.1552516158, 665.74471834)	(0.73034250297, 0.394376434342, 0.719148966471)	(202.290587306, 230.061784827, 79.7118579792)	(0.893714650265, 0.278668459893)	4.42	0	(-0.251328218376, 18.6406512435, 680.225136396)	(0.544094651083, 0.387665069881, 0.767417195638)	(234.795279968, 218.637544773, 75.0800875607)	(0.956977968019, 0.321185170179)	4.83	0			
1461876121120549.0	(-59.7084863885, 17.3576474954, 673.775289947)	(0.732223597189, 0.394376147751, 0.745917561849)	(199.916968664, 273.42341255, 97.2921174661)	(0.889094917601, 0.117292844996)	3.99	0	(0.846259996445, 18.0590106026, 658.581514412)	(0.540277465804, 0.387678174516, 0.695271809896)	(168.713607859, 273.351626201, 97.2630128705)	(0.828364359399, 0.117560006697)	3.61	0			
1461876121128814.0	(-59.5067280295, 17.3215716214, 672.356361417)	(0.73186625181, 0.394377857203, 0.741187947591)	(188.924983914, 268.836502665, 95.4324302209)	(0.867701408942, 0.134363592611)	3.96	0	(-0.27471913156, 18.6439186899, 680.969149694)	(0.54417781286, 0.387756004174, 0.769897257487)	(227.305421983, 241.03565073, 84.1610315987)	(0.942400587744, 0.237827872235)	4.73	0			
1461876121137151.0	(-59.4728406706, 17.3018912518, 672.115398857)	(0.731806888102, 0.394453409465, 0.740384724935)	(192.291846531, 276.082975834, 98.3703937007)	(0.87425427507, 0.107394954097)	4.02	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461876121145510.0	(-59.49192111, 17.307391675, 672.261031625)	(0.731838445261, 0.39444322219, 0.740870157877)	(179.781948072, 266.120767916, 94.3313801889)	(0.849906477369, 0.144470532505)	4.03	0	(0.859130797222, 18.0272632147, 658.457884068)	(0.540234278552, 0.387838845055, 0.694859619141)	(137.811866475, 253.710228381, 89.2997308517)	(0.768220837827, 0.190657877256)	3.59	0			
1461876121153860.0	(-59.4988021514, 17.3017588501, 672.324406673)	(0.731847810405, 0.394483329511, 0.741081339518)	(178.577817987, 264.592163245, 93.7116325416)	(0.847562899937, 0.150159422236)	3.98	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461876121162144.0	(-59.5005412109, 17.2979831602, 672.414721283)	(0.731835504758, 0.394516798997, 0.741382446289)	(172.952204696, 272.940753802, 97.0964314074)	(0.836613866672, 0.119089118713)	3.93	0	(-0.601048507537, 18.808872611, 688.312878826)	(0.545286669214, 0.387925801102, 0.794376220703)	(224.733134165, 231.578656305, 80.3268485963)	(0.93739418872, 0.273023236678)	4.89	0			
1461876121170458.0	(-59.6324721108, 17.318359433, 673.487258958)	(0.732040721163, 0.39455328877, 0.744957478841)	(184.11568507, 270.725621482, 96.1983424049)	(0.858341154282, 0.127333005279)	3.97	0	(-0.492296973184, 18.7410989389, 686.345254765)	(0.544925147632, 0.388008446735, 0.787817586263)	(230.812661578, 236.173539209, 82.1897683715)	(0.949226667143, 0.255922816491)	4.81	0			
1461876121178818.0	(-59.5766827128, 17.3086689226, 673.114746414)	(0.731937976653, 0.394555021958, 0.743715820312)	(194.633686743, 219.058391976, 75.2507131444)	(0.878812157926, 0.319618935704)	4.61	0	(0.905811441967, 18.0058208841, 658.685591168)	(0.540088362884, 0.387993816699, 0.695618693034)	(157.360931463, 262.008205067, 92.6640091552)	(0.806268842864, 0.15977593946)	3.73	0			
1461876121187174.0	(-58.5533205664, 17.1009978305, 665.634206887)	(0.730166326707, 0.394664456837, 0.718780721028)	(200.01689026, 191.380173977, 64.0290344363)	(0.889289393266, 0.422626818099)	4.78	0	(-0.461059420477, 18.7123589, 685.827254984)	(0.544821724779, 0.388089460661, 0.786090901693)	(237.438766469, 236.278342945, 82.2322593242)	(0.9621229398, 0.255532776536)	4.86	0			
1461876121195535.0	(-59.4519290181, 17.2801828966, 672.285923407)	(0.731707209148, 0.394597320777, 0.74095316569)	(198.665899349, 187.911197448, 62.6225949013)	(0.886659983162, 0.435537039643)	4.91	0	(-0.398670783718, 18.6783476989, 684.690445733)	(0.544613194118, 0.388109592187, 0.782301432292)	(222.190226989, 237.338971795, 82.6622738644)	(0.932444972731, 0.251585516207)	4.82	0			
1461876121203785.0	(-59.6309297695, 17.2280489133, 672.976491983)	(0.732138663652, 0.394983525408, 0.743255004883)	(197.281775467, 178.112544164, 58.6498919287)	(0.883966086934, 0.472003929423)	5.00	0	(0.844145174179, 17.9387783535, 658.275942265)	(0.540280606391, 0.388311834757, 0.694253133138)	(206.801222794, 269.45393229, 95.6827569174)	(0.902493621631, 0.132065752548)	3.95	0			
1461876121212136.0	(-60.8077460148, 17.2173172514, 680.140573947)	(0.734428363035, 0.396028971036, 0.767135213216)	(157.690460927, 164.088476293, 52.9640640393)	(0.806910200325, 0.52419621774)	4.90	0	(0.288445673364, 17.8296696903, 663.218461632)	(0.542149863232, 0.389664921688, 0.710728149414)	(193.325785046, 208.957879237, 71.1556262155)	(0.876266611611, 0.357209232463)	4.54	0			
1461876121220493.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(0.176031964957, 17.5338220093, 658.547151487)	(0.542442977265, 0.390647378978, 0.695157267252)	(196.942209256, 101.875871817, 27.7409857675)	(0.883305195125, 0.755728054273)	4.08	0			
1461876121228845.0	(-59.1817711191, 16.3817332083, 665.631045133)	(0.732187571772, 0.398701661662, 0.718770141601)	(106.869682481, 38.510606262, 2.05058000066)	(0.707998603506, 0.991549660357)	4.80	0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4			
1461876121237207.0	(-59.2729679773, 16.2481873958, 665.627758795)	(0.732481983982, 0.39945066398, 0.718759155273)	(89.7404005166, 19.789444922, -5.53960725791)	(0.674660180063, 1.06122275801)	4.85	0	(-1.2033740138, 17.6424291346, 676.020255598)	(0.547059538175, 0.392555505279, 0.753400878906)	(128.325885419, 46.644766889, 5.34844177479)	(0.749758437951, 0.961277384112)	5.24	0			
1461876121245464.0	(-59.3540826751, 16.1448528337, 665.629759261)	(0.732742582654, 0.400030935204, 0.71876586914)	(77.2054473735, 2.07562691546, -12.7213837135)	(0.650263618866, 1.12714690392)	4.89	0	(-0.374609545041, 17.1083909303, 658.343123847)	(0.544219830602, 0.393027825764, 0.694477132161)	(110.696146064, 11.9923654795, -8.70080500435)	(0.715445982997, 1.09024054529)	5.04	0			
1461876121253793.0	(-59.4177941874, 16.1739560582, 665.633445595)	(0.732944841647, 0.399868925785, 0.718778076172)	(90.8683906618, -1.65584255635, -14.2342466992)	(0.676855567656, 1.14103402514)	4.91	0	(-0.359041969466, 17.0900703866, 658.343149244)	(0.544169958077, 0.393131246402, 0.694477132161)	(108.314593605, 22.9969089721, -4.2391936605)	(0.710810808884, 1.04928578723)	5.14	0			
1461876121262161.0	(-59.414782677, 16.1762312515, 665.632398864)	(0.732935390206, 0.39985600517, 0.718774617513)	(81.1087720359, -0.884598857243, -13.9215586137)	(0.65786059174, 1.13816374714)	4.88	0	(-0.348675646685, 17.0904010158, 658.365972311)	(0.54413686827, 0.393132534612, 0.694553222656)	(111.260647557, 6.71294726922, -10.8412583718)	(0.716544662431, 1.10988854757)	5.05	0			
1461876121270518.0	(-59.4133609457, 16.1776866355, 665.631946921)	(0.732930912778, 0.399847773866, 0.718773193359)	(79.2715069643, -3.2587504476, -14.8841193664)	(0.654284754699, 1.14699944342)	4.95	0	(-0.335237630314, 17.0915321532, 658.320632274)	(0.544092956507, 0.393119536511, 0.694402058919)	(107.910785507, 3.61732315539, -12.0963283046)	(0.710024884209, 1.12140929231)	5.02	0			
1461876121278768.0	(-59.9139412886, 16.534345975, 680.510694789)	(0.7315590029, 0.399816793132, 0.768368937174)	(84.3929415545, -2.00139506373, -14.3743452856)	(0.66425251373, 1.14232004117)	5.01	0	(-1.30551585461, 17.5702708071, 677.296146373)	(0.547395202996, 0.393131549124, 0.757653808594)	(111.432301986, 18.8157867085, -5.9343609824)	(0.71687875046, 1.06484634645)	5.29	0			
1461876121287120.0	(-59.9180145062, 16.5359012798, 680.664658395)	(0.731541606499, 0.399828179949, 0.768882242838)	(82.7376827308, 2.40707728707, -12.5870026064)	(0.661030912283, 1.12591337072)	4.99	0	(-1.27109971264, 17.5630786947, 677.111539418)	(0.547285028076, 0.393145139463, 0.757038370768)	(108.44173704, 19.3448333349, -5.71986772051)	(0.711058265939, 1.06287743456)	5.29	0			
1461876121295474.0	(-59.915128598, 16.5303181748, 680.457189327)	(0.731573289376, 0.399831992098, 0.768190714518)	(83.8656907753, -5.20539546877, -15.673354605)	(0.663226334712, 1.15424412158)	5.02	0	(-0.27883377485, 17.0856179493, 658.327170797)	(0.543911445602, 0.393153355972, 0.694423828125)	(109.027092405, 2.29362630242, -12.632999444)	(0.712197532901, 1.12633559247)	5.02	0			
1461876121303831.0	(-59.9335945088, 16.5377928983, 680.738973736)	(0.731575948466, 0.399827550384, 0.769129842122)	(78.1903259331, -3.26824121118, -14.8879672406)	(0.65218047087, 1.14703476446)	5.02	0	(-1.23108517484, 17.5549989572, 676.745616813)	(0.547155393338, 0.393138375518, 0.755818684896)	(108.872812571, 18.334497977, -6.12949159058)	(0.711897260745, 1.06663752148)	5.28	0			
1461876121312190.0	(-59.9583286057, 16.5500392619, 681.289468662)	(0.731545583905, 0.399831684472, 0.77096496582)	(72.6831274961, 0.486895311973, -13.3655088378)	(0.641461906376, 1.13305956341)	5.00	0	(-0.261029259645, 17.0843939988, 658.246098157)	(0.543852998063, 0.393148530245, 0.694153645833)	(109.385841134, 2.08792511248, -12.7163976116)	(0.712895759312, 1.12710113468)	5.02	0			
1461876121320479.0	(-59.9257734428, 16.526980934, 680.383298349)	(0.731621275722, 0.399840864668, 0.767944335938)	(82.6534088871, -1.18158317138, -14.0419660242)	(0.660866891567, 1.13926901069)	4.99	0	(-0.249070314207, 17.0861247835, 658.306067541)	(0.543815273757, 0.393147189038, 0.694353637695)	(105.674957713, -3.11317101048, -14.8250965757)	(0.705673331477, 1.1464576517)	4.99	0			
1461876121328772.0	(-59.9398701598, 16.5423075744, 680.904527341)	(0.731563146744, 0.399824222783, 0.769681803385)	(79.8695243646, 1.41416839169, -12.9895612036)	(0.65544866556, 1.12960860293)	4.98	0	(-0.233204100402, 17.0864856818, 658.283627654)	(0.543763848585, 0.393141791156, 0.694278767904)	(109.251742456, 4.94974624998, -11.5561192539)	(0.712634765388, 1.11645051638)	5.06	0			
