Timestamp	LeftEyePosition3D	LeftEyePosition3DRelative	LeftGazePoint3D	LeftGazePoint2D	LeftPupil	LeftValidity	RightEyePosition3D	RightEyePosition3DRelative	RightGazePoint3D	RightGazePoint2D	RightPupil	RightValidity	task	soundtime	presstime	iti_mean	iti_range	trialvec
1460667844930569.0	(30.9298612704, -43.7163326639, 776.565722235)	(0.457491088052, 0.699561568893, 1.08855244954)	(157.204126432, 223.14080571, 76.9058607148)	(0.80596365596, 0.304425732377)	3.04	2	(30.9732862647, -43.1579530117, 766.405894067)	(0.456341586576, 0.699554819352, 1.0546862793)	(14.6784767368, 196.901669648, 66.2676341327)	(0.528568463871, 0.402077894871)	2.99	2	oddball	1460667846919618	1460667847858199	3	2	0.0
1460667844938860.0	(30.7417888039, -46.1859687648, 823.391547643)	(0.462464685049, 0.699119076744, 1.24463846842)	(181.099846684, 254.711980542, 89.7058748057)	(0.852471480505, 0.186929733746)	3.33	2	(30.8008023415, -45.5978266359, 812.666426485)	(0.461321564622, 0.699112247458, 1.2088881429)	(26.8095502364, 224.462367315, 77.4416661531)	(0.552178961145, 0.299507378803)	3.28	2		1460667850300548	1460667850897753			0.0
1460667844947131.0	(30.7896701697, -45.806649453, 818.462298405)	(0.461884447936, 0.698617696101, 1.22820760091)	(179.666461355, 249.647306262, 87.6524858364)	(0.849681707581, 0.205778540147)	3.44	2	(30.8474161544, -45.2231622819, 807.796718232)	(0.460738828214, 0.698610865521, 1.19265563965)	(26.4191201251, 219.807111095, 75.5542690089)	(0.551419073813, 0.316832485691)	3.38	2		1460667852621900	1460667853322299			0.0
1460667844955462.0	(31.0159416424, -44.0160362284, 787.575748728)	(0.458332960947, 0.69811801985, 1.1252524821)	(158.531951618, 236.851169316, 82.4645023641)	(0.808547979014, 0.253400932953)	3.18	2	(31.0818458418, -43.4542312942, 777.282987943)	(0.457127756782, 0.698110825726, 1.09094319661)	(10.3886790511, 209.583931592, 71.4094488562)	(0.520219305276, 0.354879301852)	3.13	2		1460667856612248	1460667857049363			0.0
1460667844963820.0	(31.0693684874, -43.6699709584, 783.05750353)	(0.457736684915, 0.697640175868, 1.11019165039)	(171.558608564, 209.900623625, 71.5378464371)	(0.833901534768, 0.353700693619)	3.30	2	(31.0986340875, -43.1124299511, 772.819160249)	(0.456629749686, 0.697633747483, 1.07606384277)	(28.7691747851, 183.50265334, 60.8352231295)	(0.555992944307, 0.451943977148)	3.25	2		1460667858503623	1460667858946675			0.0
1460667844972172.0	(31.1065968713, -43.388813247, 779.622241484)	(0.457289106645, 0.697186914237, 1.09874084473)	(159.289021792, 216.469399598, 74.2010487241)	(0.810021451522, 0.329254188323)	3.16	2	(31.1353042724, -42.8347210486, 769.425152604)	(0.45617947874, 0.697180479523, 1.06475056966)	(18.0172834573, 190.452616376, 63.6529714478)	(0.535066725296, 0.426078837453)	3.11	2		1460667860078572	1460667860625066			0.0
1460667844980458.0	(30.9479774885, -45.7448054506, 824.423503414)	(0.461993755759, 0.696858621968, 1.24807840983)	(176.963298117, 231.273799469, 80.2032494013)	(0.844420588004, 0.274157798777)	3.43	2	(31.0132046427, -45.162298584, 813.6856676)	(0.460828762074, 0.69685164534, 1.21228556315)	(21.2530706324, 202.963459997, 68.7252874285)	(0.541364481573, 0.379518198747)	3.38	2		1460667863289469	1460667863753112			0.0
1460667844988782.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1460667867050704	1460667867865119			1.0
1460667844997139.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1460667872460516	1460667872954407			0.0
1460667845005487.0	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0, -1.0)	(-1.0, -1.0)	-1.00	4		1460667875543568	1460667876305286			0.0
